beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.4,0.84,0.7,0.72,0.59,1.07,0.5632,0.609,0.5651,0.6449,0.4338
0.4,0.85,0.55,0.72,0.59,1.06,0.5625,0.6117,0.5566,0.6523,0.4293
0.4,0.85,0.65,0.72,0.59,1.06,0.5629,0.6103,0.5597,0.6506,0.4311
0.4,0.85,0.45,0.72,0.59,1.07,0.5622,0.6123,0.5566,0.6504,0.4293
0.4,0.85,0.7,0.72,0.59,1.06,0.5631,0.6094,0.5614,0.6497,0.4321
0.4,0.86,0.55,0.72,0.59,1.06,0.5624,0.6105,0.5567,0.6525,0.4297
0.4,0.86,0.65,0.72,0.59,1.05,0.5627,0.6105,0.5564,0.6544,0.4296
0.4,0.86,0.45,0.72,0.59,1.06,0.5621,0.6123,0.5541,0.6542,0.428
0.4,0.86,0.7,0.72,0.59,1.05,0.5629,0.6098,0.5578,0.6537,0.4305
0.4,0.87,0.55,0.72,0.59,1.05,0.5622,0.6107,0.5538,0.6557,0.4284
0.4,0.87,0.65,0.72,0.59,1.05,0.5624,0.6089,0.5563,0.6545,0.4299
0.4,0.87,0.45,0.72,0.59,1.06,0.5618,0.6102,0.5542,0.6542,0.4286
0.4,0.87,0.7,0.72,0.59,1.05,0.5625,0.608,0.5576,0.6538,0.4307
0.4,0.88,0.55,0.72,0.59,1.05,0.5618,0.6085,0.5539,0.6558,0.4288
0.4,0.88,0.65,0.72,0.59,1.04,0.5621,0.6093,0.5532,0.6573,0.4284
0.4,0.88,0.45,0.72,0.59,1.05,0.5613,0.6103,0.5506,0.657,0.4274
0.4,0.88,0.7,0.72,0.59,1.04,0.5622,0.6085,0.5543,0.6568,0.4291
0.4,0.89,0.55,0.72,0.59,1.04,0.5612,0.6089,0.55,0.6587,0.4272
0.4,0.89,0.65,0.72,0.59,1.03,0.5616,0.6098,0.5497,0.6605,0.4264
0.4,0.89,0.45,0.72,0.59,1.04,0.5608,0.6105,0.5471,0.6598,0.4259
0.4,0.89,0.7,0.72,0.59,1.03,0.5618,0.609,0.5512,0.66,0.427
0.4,0.9,0.55,0.72,0.59,1.03,0.5606,0.6093,0.5463,0.6616,0.4254
0.4,0.9,0.65,0.72,0.59,1.03,0.561,0.6077,0.5489,0.6608,0.4265
0.4,0.9,0.45,0.72,0.59,1.03,0.5602,0.6107,0.5437,0.6624,0.4242
0.4,0.9,0.7,0.72,0.59,1.03,0.5612,0.6069,0.5503,0.6604,0.4271
0.4,0.91,0.55,0.72,0.59,1.03,0.5598,0.6063,0.5458,0.6614,0.4257
0.4,0.91,0.65,0.72,0.59,1.03,0.56,0.6047,0.5481,0.6607,0.4267
0.4,0.91,0.45,0.72,0.59,1.03,0.5595,0.6079,0.5435,0.6621,0.4246
0.4,0.91,0.7,0.72,0.59,1.03,0.5602,0.6038,0.5493,0.6603,0.4272
0.4,0.92,0.55,0.72,0.59,1.03,0.5588,0.6028,0.5454,0.6612,0.4259
0.4,0.92,0.65,0.72,0.59,1.02,0.559,0.6055,0.5441,0.6616,0.4248
0.4,0.92,0.45,0.72,0.59,1.03,0.5587,0.6043,0.5434,0.6619,0.425
0.4,0.92,0.7,0.72,0.59,1.02,0.5591,0.6048,0.5452,0.6614,0.4253
0.4,0.93,0.55,0.72,0.59,1.02,0.5579,0.6035,0.5418,0.6622,0.4242
0.4,0.93,0.65,0.72,0.59,1.02,0.5581,0.6021,0.5435,0.6617,0.425
0.4,0.93,0.45,0.72,0.59,1.02,0.5578,0.6049,0.5401,0.6627,0.4234
0.4,0.93,0.7,0.72,0.59,1.02,0.5581,0.6014,0.5444,0.6614,0.4254
0.5,0.78,0.55,0.65,0.6,1.13,0.5597,0.6116,0.5635,0.6289,0.4347
0.5,0.78,0.65,0.65,0.6,1.13,0.5606,0.6103,0.5665,0.628,0.4378
0.5,0.78,0.45,0.65,0.6,1.13,0.5588,0.6129,0.561,0.6297,0.4317
0.5,0.78,0.7,0.65,0.6,1.12,0.5611,0.6085,0.5648,0.6337,0.4374
0.5,0.79,0.55,0.65,0.6,1.12,0.5603,0.6118,0.5611,0.6347,0.4336
0.5,0.79,0.65,0.65,0.6,1.12,0.5612,0.6104,0.5638,0.634,0.4365
0.5,0.79,0.45,0.65,0.6,1.13,0.5595,0.6141,0.5618,0.6298,0.4325
0.5,0.79,0.7,0.65,0.6,1.12,0.5615,0.6093,0.5652,0.6337,0.4379
0.5,0.8,0.55,0.65,0.6,1.11,0.5609,0.6119,0.5588,0.6404,0.4326
0.5,0.8,0.65,0.65,0.6,1.11,0.5616,0.6105,0.5611,0.6397,0.4352
0.5,0.8,0.45,0.65,0.6,1.11,0.5602,0.6131,0.5568,0.6411,0.43
0.5,0.8,0.7,0.65,0.6,1.1,0.562,0.609,0.5592,0.645,0.4348
0.5,0.81,0.55,0.65,0.6,1.1,0.5615,0.612,0.5565,0.6461,0.4316
0.5,0.81,0.65,0.65,0.6,1.1,0.5622,0.6107,0.5586,0.6455,0.4341
0.5,0.81,0.45,0.65,0.6,1.1,0.5609,0.6132,0.5548,0.6467,0.4291
0.5,0.81,0.7,0.65,0.6,1.1,0.5625,0.6097,0.5597,0.6452,0.4353
0.5,0.82,0.55,0.65,0.6,1.1,0.562,0.6124,0.5573,0.646,0.4324
0.5,0.82,0.65,0.65,0.6,1.09,0.5626,0.6108,0.5561,0.6505,0.4329
0.5,0.82,0.45,0.65,0.6,1.1,0.5615,0.614,0.5557,0.6465,0.4298
0.5,0.82,0.7,0.65,0.6,1.09,0.5629,0.61,0.5571,0.6503,0.4341
0.5,0.83,0.55,0.65,0.6,1.09,0.5622,0.6124,0.5551,0.6505,0.4309
0.5,0.83,0.65,0.65,0.6,1.09,0.5626,0.6101,0.5567,0.6502,0.4333
0.5,0.83,0.45,0.65,0.6,1.09,0.5615,0.6139,0.553,0.6508,0.4285
0.5,0.83,0.7,0.65,0.6,1.08,0.5629,0.6102,0.5546,0.6543,0.4325
0.5,0.84,0.55,0.65,0.6,1.08,0.5622,0.6124,0.5528,0.6543,0.4294
0.5,0.84,0.65,0.65,0.6,1.08,0.5626,0.6102,0.5544,0.6541,0.4317
0.5,0.84,0.45,0.65,0.6,1.09,0.5615,0.6128,0.5534,0.6505,0.4292
0.5,0.84,0.7,0.65,0.6,1.08,0.5628,0.609,0.5552,0.654,0.4328
0.5,0.85,0.55,0.65,0.6,1.08,0.5619,0.6103,0.5531,0.654,0.43
0.5,0.85,0.65,0.65,0.6,1.07,0.5623,0.6103,0.5522,0.6567,0.4301
0.5,0.85,0.45,0.65,0.6,1.08,0.5614,0.6126,0.5507,0.6542,0.428
0.5,0.85,0.7,0.65,0.6,1.07,0.5625,0.6093,0.5528,0.6566,0.4311
0.5,0.86,0.55,0.65,0.6,1.06,0.5614,0.6124,0.5469,0.6595,0.4268
0.5,0.86,0.65,0.65,0.6,1.06,0.5619,0.6105,0.5491,0.6594,0.4286
0.5,0.86,0.45,0.65,0.6,1.07,0.561,0.6124,0.5479,0.6567,0.4268
0.5,0.86,0.7,0.65,0.6,1.06,0.5622,0.6095,0.5503,0.6593,0.4296
0.5,0.87,0.55,0.65,0.6,1.06,0.5611,0.6104,0.5472,0.6592,0.4274
0.5,0.87,0.65,0.65,0.6,1.05,0.5614,0.6107,0.546,0.6618,0.4272
0.5,0.87,0.45,0.65,0.6,1.06,0.5607,0.6123,0.5453,0.6594,0.4257
0.5,0.87,0.7,0.65,0.6,1.05,0.5617,0.6098,0.547,0.6618,0.4281
0.5,0.88,0.55,0.65,0.6,1.05,0.5607,0.6104,0.5443,0.6618,0.4262
0.5,0.88,0.65,0.65,0.6,1.05,0.561,0.6086,0.5462,0.6616,0.4277
0.5,0.88,0.45,0.65,0.6,1.05,0.5604,0.6122,0.5426,0.6619,0.4247
0.5,0.88,0.7,0.65,0.6,1.05,0.5612,0.6075,0.5471,0.6615,0.4285
0.5,0.89,0.55,0.65,0.6,1.04,0.5602,0.6106,0.5415,0.6637,0.4251
0.5,0.89,0.65,0.65,0.6,1.04,0.5605,0.6089,0.5431,0.6635,0.4264
0.5,0.89,0.45,0.65,0.6,1.04,0.56,0.6122,0.54,0.6639,0.4237
0.5,0.89,0.7,0.65,0.6,1.04,0.5606,0.608,0.5439,0.6634,0.4271
0.5,0.9,0.55,0.65,0.6,1.04,0.5597,0.6078,0.5419,0.6632,0.4257
0.5,0.9,0.65,0.65,0.6,1.04,0.5598,0.6059,0.5433,0.6631,0.427
0.5,0.9,0.45,0.65,0.6,1.04,0.5595,0.6096,0.5405,0.6634,0.4245
0.5,0.9,0.7,0.65,0.6,1.03,0.5599,0.6085,0.5408,0.6645,0.4258
0.5,0.91,0.55,0.65,0.6,1.03,0.5589,0.6081,0.5391,0.6643,0.4242
0.5,0.91,0.65,0.65,0.6,1.03,0.5591,0.6064,0.5403,0.6642,0.4255
0.5,0.91,0.45,0.65,0.6,1.03,0.5588,0.6097,0.538,0.6644,0.423
0.5,0.91,0.7,0.65,0.6,1.03,0.5592,0.6056,0.541,0.6642,0.4261
0.5,0.92,0.55,0.65,0.6,1.03,0.5582,0.6045,0.5395,0.664,0.4247
0.5,0.92,0.65,0.65,0.6,1.03,0.5583,0.6029,0.5406,0.664,0.4257
0.5,0.92,0.45,0.65,0.6,1.03,0.5581,0.606,0.5385,0.6641,0.4236
0.5,0.92,0.7,0.65,0.6,1.03,0.5584,0.6021,0.5411,0.6639,0.4263
0.5,0.93,0.55,0.65,0.6,1.02,0.5573,0.605,0.5369,0.6644,0.423
0.5,0.93,0.65,0.65,0.6,1.02,0.5574,0.6036,0.5377,0.6644,0.424
0.5,0.93,0.45,0.65,0.6,1.03,0.5572,0.6018,0.5391,0.6639,0.4241
0.5,0.93,0.7,0.65,0.6,1.02,0.5575,0.6029,0.5382,0.6643,0.4244
0.6,0.78,0.55,0.55,0.59,1.14,0.5577,0.6126,0.5556,0.6293,0.4333
0.6,0.78,0.65,0.55,0.59,1.14,0.5589,0.611,0.558,0.6308,0.4359
0.6,0.78,0.45,0.55,0.59,1.14,0.5563,0.6138,0.5531,0.6276,0.4308
0.6,0.78,0.7,0.55,0.59,1.14,0.5594,0.61,0.5589,0.6316,0.4372
0.6,0.79,0.55,0.55,0.59,1.13,0.5581,0.6126,0.5534,0.6341,0.4323
0.6,0.79,0.65,0.55,0.59,1.13,0.5593,0.611,0.556,0.6354,0.4347
0.6,0.79,0.45,0.55,0.59,1.13,0.5569,0.6139,0.551,0.6328,0.43
0.6,0.79,0.7,0.55,0.59,1.12,0.5598,0.61,0.554,0.6413,0.4341
0.6,0.8,0.55,0.55,0.59,1.12,0.5585,0.6126,0.5512,0.6389,0.4313
0.6,0.8,0.65,0.55,0.59,1.12,0.5596,0.611,0.5536,0.6403,0.4336
0.6,0.8,0.45,0.55,0.59,1.12,0.5574,0.6139,0.549,0.6376,0.4292
0.6,0.8,0.7,0.55,0.59,1.11,0.5602,0.6102,0.5515,0.6462,0.4328
0.6,0.81,0.55,0.55,0.59,1.11,0.5591,0.6126,0.5491,0.6442,0.4304
0.6,0.81,0.65,0.55,0.59,1.1,0.5601,0.6109,0.548,0.6507,0.4306
0.6,0.81,0.45,0.55,0.59,1.11,0.558,0.6138,0.5471,0.6429,0.4284
0.6,0.81,0.7,0.55,0.59,1.1,0.5606,0.6104,0.5491,0.6514,0.4316
0.6,0.82,0.55,0.55,0.59,1.1,0.5596,0.6126,0.5469,0.6495,0.4295
0.6,0.82,0.65,0.55,0.59,1.1,0.5605,0.6112,0.5489,0.6507,0.4313
0.6,0.82,0.45,0.55,0.59,1.1,0.5586,0.6138,0.5451,0.6482,0.4273
0.6,0.82,0.7,0.55,0.59,1.1,0.561,0.6104,0.5499,0.6514,0.4323
0.6,0.83,0.55,0.55,0.59,1.09,0.5599,0.6126,0.5448,0.6539,0.4283
0.6,0.83,0.65,0.55,0.59,1.09,0.5607,0.6112,0.5466,0.6547,0.4302
0.6,0.83,0.45,0.55,0.59,1.1,0.559,0.6135,0.5461,0.6482,0.4281
0.6,0.83,0.7,0.55,0.59,1.09,0.561,0.6104,0.5475,0.6551,0.4311
0.6,0.84,0.55,0.55,0.59,1.09,0.5599,0.6114,0.5458,0.6535,0.4291
0.6,0.84,0.65,0.55,0.59,1.08,0.5606,0.6113,0.5443,0.6575,0.4291
0.6,0.84,0.45,0.55,0.59,1.09,0.5592,0.6132,0.5442,0.6526,0.427
0.6,0.84,0.7,0.55,0.59,1.08,0.5609,0.6106,0.5451,0.6579,0.43
0.6,0.85,0.55,0.55,0.59,1.08,0.5597,0.6113,0.5436,0.6562,0.4278
0.6,0.85,0.65,0.55,0.59,1.08,0.5604,0.6096,0.5452,0.657,0.4297
0.6,0.85,0.45,0.55,0.59,1.08,0.5591,0.613,0.5422,0.6556,0.4259
0.6,0.85,0.7,0.55,0.59,1.08,0.5606,0.6086,0.5459,0.6574,0.4306
0.6,0.86,0.55,0.55,0.59,1.07,0.5595,0.6112,0.5415,0.6587,0.4265
0.6,0.86,0.65,0.55,0.59,1.07,0.56,0.6096,0.5429,0.6594,0.4282
0.6,0.86,0.45,0.55,0.59,1.07,0.5589,0.6128,0.5403,0.658,0.4247
0.6,0.86,0.7,0.55,0.59,1.07,0.5603,0.6088,0.5436,0.6598,0.4291
0.6,0.87,0.55,0.55,0.59,1.06,0.5591,0.6112,0.5395,0.6607,0.4252
0.6,0.87,0.65,0.55,0.59,1.06,0.5596,0.6097,0.5407,0.6611,0.4268
0.6,0.87,0.45,0.55,0.59,1.06,0.5587,0.6127,0.5383,0.6601,0.4236
0.6,0.87,0.7,0.55,0.59,1.06,0.5598,0.609,0.5413,0.6613,0.4276
0.6,0.88,0.55,0.55,0.59,1.06,0.5588,0.6085,0.5404,0.6602,0.4259
0.6,0.88,0.65,0.55,0.59,1.06,0.5591,0.6068,0.5415,0.6606,0.4274
0.6,0.88,0.45,0.55,0.59,1.06,0.5584,0.6101,0.5393,0.6598,0.4245
0.6,0.88,0.7,0.55,0.59,1.06,0.5593,0.606,0.5421,0.6608,0.4281
0.6,0.89,0.55,0.55,0.59,1.05,0.5584,0.6086,0.5383,0.6619,0.4246
0.6,0.89,0.65,0.55,0.59,1.05,0.5586,0.6071,0.5393,0.6621,0.4259
0.6,0.89,0.45,0.55,0.59,1.05,0.5581,0.61,0.5374,0.6615,0.4233
0.6,0.89,0.7,0.55,0.59,1.05,0.5587,0.6063,0.5398,0.6622,0.4266
0.6,0.9,0.55,0.55,0.59,1.04,0.5578,0.6087,0.5363,0.6629,0.4234
0.6,0.9,0.65,0.55,0.59,1.04,0.558,0.6074,0.5371,0.6631,0.4245
0.6,0.9,0.45,0.55,0.59,1.04,0.5576,0.61,0.5355,0.6627,0.4222
0.6,0.9,0.7,0.55,0.59,1.04,0.5581,0.6067,0.5376,0.6632,0.4251
0.6,0.91,0.55,0.55,0.59,1.04,0.5572,0.6051,0.5373,0.6625,0.4241
0.6,0.91,0.65,0.55,0.59,1.04,0.5574,0.6037,0.538,0.6627,0.4251
0.6,0.91,0.45,0.55,0.59,1.04,0.5571,0.6064,0.5365,0.6624,0.423
0.6,0.91,0.7,0.55,0.59,1.04,0.5575,0.6031,0.5384,0.6628,0.4256
0.6,0.92,0.55,0.55,0.59,1.03,0.5567,0.6054,0.5352,0.6633,0.4228
0.6,0.92,0.65,0.55,0.59,1.03,0.5568,0.6042,0.5359,0.6634,0.4237
0.6,0.92,0.45,0.55,0.59,1.03,0.5566,0.6066,0.5346,0.6632,0.4219
0.6,0.92,0.7,0.55,0.59,1.03,0.5569,0.6036,0.5362,0.6635,0.4242
0.6,0.93,0.55,0.55,0.59,1.03,0.556,0.6012,0.5362,0.6632,0.4235
0.6,0.93,0.65,0.55,0.59,1.03,0.5561,0.6,0.5368,0.6634,0.4243
0.6,0.93,0.45,0.55,0.59,1.03,0.556,0.6023,0.5357,0.6631,0.4227
0.6,0.93,0.7,0.55,0.59,1.03,0.5562,0.5994,0.5371,0.6635,0.4247
0.7,0.78,0.55,0.6,0.63,1.14,0.5615,0.6154,0.5645,0.6259,0.4405
0.7,0.78,0.65,0.6,0.63,1.13,0.5626,0.6133,0.5634,0.6332,0.4404
0.7,0.78,0.45,0.6,0.63,1.14,0.5605,0.617,0.5623,0.6241,0.4387
0.7,0.78,0.7,0.6,0.63,1.13,0.5631,0.6126,0.5646,0.6339,0.4413
0.7,0.79,0.55,0.6,0.63,1.13,0.5619,0.6153,0.5618,0.6316,0.4391
0.7,0.79,0.65,0.6,0.63,1.12,0.5627,0.6133,0.5606,0.6378,0.4389
0.7,0.79,0.45,0.6,0.63,1.13,0.561,0.6168,0.5597,0.63,0.4374
0.7,0.79,0.7,0.6,0.63,1.12,0.5631,0.6125,0.5616,0.6384,0.4398
0.7,0.8,0.55,0.6,0.63,1.12,0.5622,0.6151,0.5591,0.6366,0.4378
0.7,0.8,0.65,0.6,0.63,1.11,0.5628,0.6133,0.5578,0.6428,0.4375
0.7,0.8,0.45,0.6,0.63,1.12,0.5614,0.6166,0.5572,0.6355,0.4363
0.7,0.8,0.7,0.6,0.63,1.11,0.5633,0.6125,0.5588,0.6434,0.4383
0.7,0.81,0.55,0.6,0.63,1.1,0.5624,0.6145,0.5533,0.647,0.4348
0.7,0.81,0.65,0.6,0.63,1.1,0.563,0.6132,0.555,0.6474,0.4362
0.7,0.81,0.45,0.6,0.63,1.11,0.5617,0.6164,0.5547,0.6406,0.4352
0.7,0.81,0.7,0.6,0.63,1.1,0.5633,0.6125,0.5559,0.6477,0.4369
0.7,0.82,0.55,0.6,0.63,1.1,0.5627,0.6147,0.5538,0.6468,0.4354
0.7,0.82,0.65,0.6,0.63,1.1,0.563,0.6126,0.5555,0.6472,0.4367
0.7,0.82,0.45,0.6,0.63,1.1,0.5621,0.6161,0.5523,0.6461,0.4338
0.7,0.82,0.7,0.6,0.63,1.1,0.5632,0.6115,0.5563,0.6474,0.4374
0.7,0.83,0.55,0.6,0.63,1.09,0.5625,0.6145,0.5512,0.6506,0.4338
0.7,0.83,0.65,0.6,0.63,1.09,0.5628,0.6125,0.5528,0.6508,0.4353
0.7,0.83,0.45,0.6,0.63,1.1,0.5622,0.6154,0.5529,0.6461,0.4343
0.7,0.83,0.7,0.6,0.63,1.09,0.563,0.6115,0.5535,0.6509,0.4361
0.7,0.84,0.55,0.6,0.63,1.08,0.5623,0.6144,0.5487,0.6541,0.4321
0.7,0.84,0.65,0.6,0.63,1.08,0.5626,0.6125,0.5501,0.6543,0.4335
0.7,0.84,0.45,0.6,0.63,1.09,0.5621,0.615,0.5504,0.6502,0.4327
0.7,0.84,0.7,0.6,0.63,1.08,0.5627,0.6115,0.5508,0.6543,0.4342
0.7,0.85,0.55,0.6,0.63,1.07,0.562,0.6142,0.5462,0.6573,0.4306
0.7,0.85,0.65,0.6,0.63,1.07,0.5622,0.6125,0.5474,0.6572,0.4318
0.7,0.85,0.45,0.6,0.63,1.08,0.5619,0.6146,0.548,0.6538,0.4313
0.7,0.85,0.7,0.6,0.63,1.07,0.5623,0.6115,0.548,0.6572,0.4325
0.7,0.86,0.55,0.6,0.63,1.07,0.5617,0.6123,0.5467,0.657,0.431
0.7,0.86,0.65,0.6,0.63,1.06,0.5619,0.6125,0.5448,0.6601,0.4302
0.7,0.86,0.45,0.6,0.63,1.07,0.5617,0.6143,0.5456,0.657,0.4299
0.7,0.86,0.7,0.6,0.63,1.06,0.5619,0.6116,0.5453,0.6601,0.4308
0.7,0.87,0.55,0.6,0.63,1.06,0.5615,0.6122,0.5442,0.66,0.4295
0.7,0.87,0.65,0.6,0.63,1.05,0.5615,0.6126,0.5422,0.6627,0.4287
0.7,0.87,0.45,0.6,0.63,1.06,0.5614,0.614,0.5432,0.66,0.4285
0.7,0.87,0.7,0.6,0.63,1.05,0.5616,0.6117,0.5427,0.6629,0.4292
0.7,0.88,0.55,0.6,0.63,1.05,0.5611,0.6121,0.5417,0.6623,0.4281
0.7,0.88,0.65,0.6,0.63,1.05,0.5612,0.6104,0.5426,0.6626,0.429
0.7,0.88,0.45,0.6,0.63,1.05,0.561,0.6138,0.5409,0.6622,0.4272
0.7,0.88,0.7,0.6,0.63,1.05,0.5612,0.6095,0.5431,0.6626,0.4295
0.7,0.89,0.55,0.6,0.63,1.04,0.5606,0.6121,0.5393,0.6642,0.4268
0.7,0.89,0.65,0.6,0.63,1.04,0.5606,0.6106,0.5401,0.6643,0.4276
0.7,0.89,0.45,0.6,0.63,1.05,0.5606,0.6111,0.5415,0.662,0.4278
0.7,0.89,0.7,0.6,0.63,1.04,0.5606,0.6098,0.5405,0.6642,0.428
0.7,0.9,0.55,0.6,0.63,1.04,0.5601,0.6093,0.5399,0.6638,0.4273
0.7,0.9,0.65,0.6,0.63,1.04,0.56,0.6075,0.5406,0.6638,0.428
0.7,0.9,0.45,0.6,0.63,1.04,0.5601,0.611,0.5392,0.6639,0.4265
0.7,0.9,0.7,0.6,0.63,1.04,0.56,0.6066,0.541,0.6638,0.4284
0.7,0.91,0.55,0.6,0.63,1.03,0.5593,0.6094,0.5375,0.6647,0.4256
0.7,0.91,0.65,0.6,0.63,1.03,0.5593,0.6079,0.5381,0.6647,0.4264
0.7,0.91,0.45,0.6,0.63,1.04,0.5593,0.6072,0.5398,0.6634,0.4269
0.7,0.91,0.7,0.6,0.63,1.03,0.5593,0.6071,0.5384,0.6647,0.4268
0.7,0.92,0.55,0.6,0.63,1.03,0.5585,0.6058,0.5381,0.6644,0.4258
0.7,0.92,0.65,0.6,0.63,1.03,0.5585,0.6043,0.5386,0.6644,0.4266
0.7,0.92,0.45,0.6,0.63,1.03,0.5586,0.6072,0.5375,0.6644,0.4251
0.7,0.92,0.7,0.6,0.63,1.03,0.5584,0.6035,0.5389,0.6645,0.4269
0.7,0.93,0.55,0.6,0.63,1.02,0.5576,0.606,0.5357,0.6647,0.4241
0.7,0.93,0.65,0.6,0.63,1.02,0.5576,0.6048,0.5361,0.6648,0.4247
0.7,0.93,0.45,0.6,0.63,1.03,0.5577,0.6029,0.5382,0.6641,0.4255
0.7,0.93,0.7,0.6,0.63,1.02,0.5576,0.6041,0.5364,0.6648,0.425
0.8,0.78,0.55,1.12,0.66,1.05,0.5588,0.6223,0.5664,0.597,0.4496
0.8,0.78,0.65,1.12,0.66,1.03,0.5592,0.62,0.567,0.5994,0.4503
0.8,0.78,0.45,1.12,0.66,1.06,0.5586,0.6224,0.5623,0.6029,0.4466
0.8,0.78,0.7,1.12,0.66,1.02,0.5594,0.6188,0.5673,0.6007,0.4506
0.8,0.79,0.55,1.12,0.66,1.05,0.5598,0.6231,0.566,0.6012,0.4488
0.8,0.79,0.65,1.12,0.66,1.04,0.56,0.6229,0.5698,0.5959,0.4516
0.8,0.79,0.45,1.12,0.66,1.07,0.5596,0.6255,0.5656,0.5991,0.4483
0.8,0.79,0.7,1.12,0.66,1.03,0.5602,0.6216,0.5699,0.5975,0.4518
0.8,0.8,0.55,1.12,0.66,1.06,0.5607,0.6264,0.5688,0.5974,0.4503
0.8,0.8,0.65,1.12,0.66,1.04,0.561,0.6237,0.569,0.6008,0.4505
0.8,0.8,0.45,1.12,0.66,1.07,0.5604,0.6266,0.5652,0.602,0.4478
0.8,0.8,0.7,1.12,0.66,1.04,0.5612,0.6249,0.5726,0.5943,0.453
0.8,0.81,0.55,1.12,0.66,1.06,0.5615,0.6271,0.5681,0.6012,0.4495
0.8,0.81,0.65,1.12,0.66,1.05,0.5619,0.6269,0.5713,0.5974,0.4518
0.8,0.81,0.45,1.12,0.66,1.08,0.5611,0.6289,0.568,0.5982,0.4494
0.8,0.81,0.7,1.12,0.66,1.04,0.5621,0.6257,0.5713,0.5996,0.4518
0.8,0.82,0.55,1.12,0.66,1.06,0.562,0.6274,0.5675,0.6045,0.4488
0.8,0.82,0.65,1.12,0.66,1.05,0.5625,0.6271,0.5703,0.6017,0.4508
0.8,0.82,0.45,1.12,0.66,1.07,0.5617,0.6277,0.5647,0.6076,0.4469
0.8,0.82,0.7,1.12,0.66,1.04,0.5626,0.6262,0.5701,0.6035,0.4506
0.8,0.83,0.55,1.12,0.66,1.06,0.5625,0.6273,0.5669,0.6078,0.4481
0.8,0.83,0.65,1.12,0.66,1.05,0.5628,0.6268,0.5693,0.6053,0.4498
0.8,0.83,0.45,1.12,0.66,1.07,0.5621,0.6278,0.564,0.6104,0.4465
0.8,0.83,0.7,1.12,0.66,1.04,0.563,0.6262,0.5689,0.6073,0.4496
0.8,0.84,0.55,1.12,0.66,1.05,0.5629,0.6262,0.5629,0.6171,0.4455
0.8,0.84,0.65,1.12,0.66,1.04,0.5632,0.6257,0.5652,0.6153,0.4468
0.8,0.84,0.45,1.12,0.66,1.06,0.5625,0.6267,0.5599,0.6192,0.4442
0.8,0.84,0.7,1.12,0.66,1.04,0.5634,0.6257,0.5678,0.6114,0.4485
0.8,0.85,0.55,1.12,0.66,1.04,0.5631,0.6251,0.5583,0.6259,0.4429
0.8,0.85,0.65,1.12,0.66,1.04,0.5635,0.6251,0.5643,0.6187,0.4459
0.8,0.85,0.45,1.12,0.66,1.05,0.5627,0.6256,0.5558,0.6278,0.4413
0.8,0.85,0.7,1.12,0.66,1.04,0.5636,0.625,0.5667,0.6152,0.4475
0.8,0.86,0.55,1.12,0.66,1.04,0.5633,0.6244,0.5573,0.6294,0.442
0.8,0.86,0.65,1.12,0.66,1.03,0.5637,0.6242,0.5594,0.6281,0.4432
0.8,0.86,0.45,1.12,0.66,1.04,0.563,0.6245,0.5519,0.6369,0.4385
0.8,0.86,0.7,1.12,0.66,1.03,0.5639,0.624,0.5622,0.6247,0.4446
0.8,0.87,0.55,1.12,0.66,1.03,0.5635,0.6235,0.5529,0.6388,0.4389
0.8,0.87,0.65,1.12,0.66,1.02,0.5639,0.6231,0.5545,0.638,0.4399
0.8,0.87,0.45,1.12,0.66,1.04,0.5632,0.6236,0.5513,0.6398,0.438
0.8,0.87,0.7,1.12,0.66,1.02,0.5641,0.6231,0.557,0.6347,0.4415
0.8,0.88,0.55,1.12,0.66,1.02,0.5637,0.6226,0.5486,0.6476,0.436
0.8,0.88,0.65,1.12,0.66,1.02,0.564,0.6222,0.5531,0.6417,0.4388
0.8,0.88,0.45,1.12,0.66,1.03,0.5635,0.6227,0.5475,0.6483,0.4354
0.8,0.88,0.7,1.12,0.66,1.02,0.5641,0.622,0.5554,0.6389,0.4403
0.8,0.89,0.55,1.12,0.66,1.02,0.5639,0.6213,0.5477,0.6513,0.4353
0.8,0.89,0.65,1.12,0.66,1.01,0.5642,0.6215,0.5484,0.6512,0.4357
0.8,0.89,0.45,1.12,0.66,1.02,0.5636,0.6218,0.5438,0.6559,0.4329
0.8,0.89,0.7,1.12,0.66,1.01,0.5642,0.6213,0.5504,0.6484,0.4369
0.8,0.9,0.55,1.12,0.66,1.01,0.5638,0.6206,0.5436,0.6583,0.4326
0.8,0.9,0.65,1.12,0.66,1.01,0.5642,0.6201,0.5471,0.6549,0.4347
0.8,0.9,0.45,1.12,0.66,1.02,0.5634,0.62,0.5433,0.6577,0.4325
0.8,0.9,0.7,1.12,0.66,1.01,0.5643,0.6197,0.5489,0.6529,0.4358
0.8,0.91,0.55,1.12,0.66,1.01,0.5633,0.6186,0.5427,0.6598,0.432
0.8,0.91,0.65,1.12,0.66,1.01,0.5637,0.6175,0.5458,0.6577,0.4339
0.8,0.91,0.45,1.12,0.66,1.02,0.5627,0.6169,0.5428,0.6589,0.4321
0.8,0.91,0.7,1.12,0.66,1.0,0.5639,0.6192,0.5442,0.6596,0.4328
0.8,0.92,0.55,1.12,0.66,1.01,0.5623,0.6154,0.5419,0.6607,0.4314
0.8,0.92,0.65,1.12,0.66,1.0,0.5629,0.6174,0.5414,0.6619,0.4311
