beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.0,0.92,0.55,0.74,0.82,1.02,0.5658,0.6082,0.5534,0.6687,0.4331
0.0,0.92,0.65,0.74,0.82,1.02,0.5653,0.607,0.5528,0.6694,0.432
0.0,0.92,0.45,0.74,0.82,1.02,0.5664,0.6095,0.554,0.668,0.4343
0.0,0.92,0.7,0.74,0.82,1.02,0.565,0.6064,0.5525,0.6697,0.4315
0.0,0.93,0.55,0.74,0.82,1.02,0.5644,0.6046,0.5522,0.6682,0.4325
0.0,0.93,0.65,0.74,0.82,1.02,0.5639,0.6035,0.5517,0.6688,0.4316
0.0,0.93,0.45,0.74,0.82,1.02,0.5649,0.6058,0.5527,0.6675,0.4335
0.0,0.93,0.7,0.74,0.82,1.02,0.5636,0.6029,0.5515,0.6692,0.431
0.1,0.78,0.55,0.75,0.75,1.1,0.5734,0.6102,0.6082,0.641,0.4344
0.1,0.78,0.65,0.75,0.75,1.09,0.5735,0.6077,0.6071,0.6449,0.4342
0.1,0.78,0.45,0.75,0.75,1.1,0.5732,0.6108,0.6064,0.6436,0.4318
0.1,0.78,0.7,0.75,0.75,1.09,0.5735,0.6075,0.608,0.6434,0.4352
0.1,0.79,0.55,0.75,0.75,1.1,0.5739,0.6118,0.6074,0.6416,0.435
0.1,0.79,0.65,0.75,0.75,1.09,0.574,0.6096,0.6063,0.6455,0.4345
0.1,0.79,0.45,0.75,0.75,1.1,0.5737,0.6126,0.6055,0.6441,0.4324
0.1,0.79,0.7,0.75,0.75,1.09,0.5741,0.6094,0.6073,0.6443,0.4355
0.1,0.8,0.55,0.75,0.75,1.1,0.5743,0.6132,0.6068,0.6421,0.4353
0.1,0.8,0.65,0.75,0.75,1.09,0.5745,0.6112,0.6057,0.6462,0.4348
0.1,0.8,0.45,0.75,0.75,1.1,0.5741,0.6139,0.6049,0.6446,0.433
0.1,0.8,0.7,0.75,0.75,1.09,0.5745,0.6108,0.6063,0.645,0.4358
0.1,0.81,0.55,0.75,0.75,1.09,0.5745,0.6131,0.6024,0.6491,0.4336
0.1,0.81,0.65,0.75,0.75,1.09,0.5744,0.6122,0.6036,0.6468,0.4352
0.1,0.81,0.45,0.75,0.75,1.1,0.5745,0.6147,0.6046,0.645,0.4337
0.1,0.81,0.7,0.75,0.75,1.09,0.5744,0.6116,0.6042,0.6457,0.4361
0.1,0.82,0.55,0.75,0.75,1.09,0.5743,0.6134,0.6005,0.6494,0.4339
0.1,0.82,0.65,0.75,0.75,1.08,0.5742,0.6121,0.5982,0.6529,0.4337
0.1,0.82,0.45,0.75,0.75,1.09,0.5743,0.6145,0.5994,0.6505,0.4326
0.1,0.82,0.7,0.75,0.75,1.08,0.5742,0.6117,0.5988,0.6518,0.4347
0.1,0.83,0.55,0.75,0.75,1.08,0.5738,0.6133,0.5955,0.654,0.4324
0.1,0.83,0.65,0.75,0.75,1.08,0.5739,0.6116,0.5965,0.6533,0.4341
0.1,0.83,0.45,0.75,0.75,1.09,0.5736,0.6136,0.5978,0.6501,0.433
0.1,0.83,0.7,0.75,0.75,1.07,0.5739,0.6117,0.593,0.6576,0.4333
0.1,0.84,0.55,0.75,0.75,1.07,0.5728,0.6133,0.589,0.6577,0.431
0.1,0.84,0.65,0.75,0.75,1.07,0.5729,0.6117,0.5895,0.6574,0.4328
0.1,0.84,0.45,0.75,0.75,1.08,0.5728,0.6135,0.5922,0.654,0.4315
0.1,0.84,0.7,0.75,0.75,1.07,0.5729,0.6108,0.5898,0.6573,0.4338
0.1,0.85,0.55,0.75,0.75,1.06,0.5717,0.6132,0.5824,0.6616,0.4298
