HI,mono,trend,first,last,ratio
HI_all,0.2743362831858407,0.811595552945465,0.0027339840760039905,0.010219179596853992,3.7378343505396634
BPFI_h1,0.24778761061946902,0.7805066726068731,0.0002290972890146035,0.0008026672229661466,3.503608545151196
BPFO_h1,0.24778761061946902,0.7902918126404893,0.0002503378423262169,0.0008475693558963677,3.385702076181484
HI_IR,0.23008849557522124,0.7688908689576964,0.0009912166761328013,0.003180290947612063,3.208471993037274
BPFI_h2,0.18584070796460178,0.712124096312347,0.0001737480824262106,0.00048353892831089467,2.7829885589284773
BSF_h1,0.18584070796460178,0.7716611652254917,0.0002530091525281811,0.0009692276799911553,3.830800848409617
rms,0.02654867256637168,0.5749296288046011,0.17312262952327728,0.3833729028701782,2.2144586408122757
kurtosis,0.02654867256637168,-0.2963447479799924,3.7750293217124367,3.137829176206221,0.8312065705444643
crest,0.017699115044247787,-0.08954456167351817,6.438088001416415,5.606073449182438,0.8707668251735919
