bearing,regime,mon,tred
1,레짐1(저속),0.8125,0.9763111888111888
1,레짐2(고속),0.1,0.9539925965097831
2,레짐1(저속),0.7586206896551724,0.9916423144360026
2,레짐2(고속),0.7777777777777778,0.9891053391053393
3,레짐1(저속),0.7333333333333333,0.9685476410730804
3,레짐2(고속),0.14285714285714285,0.9024463908184839
4,레짐1(저속),0.4782608695652174,0.9604584025894497
4,레짐2(고속),0.6666666666666666,0.9694309202649853
