alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
0.6,1.5,0.6,2.0,0.95,0.5923,0.616,0.6125,0.654,0.4868
0.4,1.5,0.6,2.0,0.96,0.5922,0.6117,0.6018,0.6681,0.4871
1.0,2.0,0.8,2.0,0.94,0.5922,0.622,0.6477,0.5811,0.518
0.6,1.2,0.6,2.0,0.96,0.5921,0.6119,0.6028,0.664,0.4898
0.4,2.0,0.6,2.0,0.95,0.592,0.6158,0.6048,0.6621,0.4851
0.8,1.1,1.0,1.5,0.94,0.592,0.6211,0.6123,0.647,0.4877
0.2,1.3,1.0,1.5,0.96,0.592,0.6144,0.6091,0.6562,0.4883
0.6,1.1,1.0,1.5,0.95,0.5919,0.6186,0.6105,0.6495,0.4888
0.6,2.0,1.0,1.5,0.94,0.5918,0.6221,0.6372,0.6196,0.4882
1.0,1.1,0.6,2.0,0.96,0.5917,0.6122,0.602,0.6602,0.4923
1.0,1.3,1.0,1.5,0.92,0.5914,0.6216,0.6358,0.6227,0.4854
1.0,1.1,1.0,1.5,0.94,0.5913,0.6215,0.617,0.637,0.4897
0.6,2.0,0.6,2.0,0.95,0.5912,0.6165,0.6217,0.6378,0.4887
0.4,1.1,1.0,1.5,0.96,0.5912,0.6146,0.6086,0.6516,0.4899
0.8,1.5,0.6,2.0,0.95,0.5912,0.6166,0.625,0.633,0.4899
0.2,1.2,1.0,1.5,0.96,0.591,0.6144,0.6074,0.6539,0.4884
0.4,1.3,0.6,2.0,0.97,0.5906,0.6068,0.6001,0.6652,0.4903
0.8,1.5,1.0,1.5,0.93,0.5906,0.6225,0.6379,0.616,0.486
0.8,2.0,0.6,2.0,0.95,0.5906,0.6173,0.6391,0.6133,0.4927
0.2,1.1,0.8,2.0,0.98,0.5905,0.6021,0.5918,0.6521,0.5161
0.8,1.2,0.8,1.5,0.95,0.5904,0.6177,0.6169,0.649,0.478
0.6,1.3,0.8,1.5,0.95,0.5904,0.6174,0.6131,0.656,0.475
0.8,1.3,0.8,1.5,0.94,0.5903,0.6201,0.6196,0.6468,0.4747
0.4,1.5,0.8,1.5,0.95,0.5902,0.6171,0.6061,0.6659,0.4716
1.0,1.2,0.8,1.5,0.94,0.5902,0.6204,0.6216,0.6413,0.4777
0.8,1.1,0.6,2.0,0.97,0.59,0.6071,0.599,0.6604,0.4934
0.8,2.0,1.0,1.5,0.94,0.5899,0.6229,0.6554,0.5898,0.4916
0.6,1.2,0.8,1.5,0.95,0.5899,0.6173,0.6084,0.6584,0.4756
1.0,1.5,0.6,2.0,0.94,0.5898,0.6194,0.634,0.6161,0.4897
1.0,1.1,0.8,1.5,0.94,0.5896,0.6198,0.6053,0.6579,0.4753
0.2,1.1,1.0,1.5,0.97,0.5896,0.6096,0.6066,0.6511,0.491
0.4,2.0,0.8,1.5,0.95,0.5896,0.6174,0.6098,0.6587,0.4723
0.4,1.3,0.8,1.5,0.96,0.5894,0.6132,0.6065,0.6625,0.4755
0.2,2.0,0.6,2.0,0.97,0.5893,0.6066,0.5936,0.6689,0.4882
0.4,1.2,0.6,2.0,0.97,0.5891,0.6067,0.5964,0.6631,0.4904
0.8,1.1,0.8,1.5,0.95,0.589,0.6173,0.6035,0.6591,0.4763
0.6,1.5,0.8,1.5,0.94,0.5889,0.6199,0.615,0.6499,0.4709
1.0,2.0,0.6,2.0,0.94,0.5888,0.6203,0.6474,0.5944,0.4932
0.4,1.2,0.8,1.5,0.96,0.5886,0.6131,0.6032,0.6621,0.4761
0.2,2.0,0.8,1.5,0.97,0.5885,0.6083,0.602,0.6679,0.4758
1.0,1.5,1.0,1.5,0.93,0.5885,0.6231,0.6511,0.5908,0.4889
1.0,1.3,0.8,1.5,0.94,0.5884,0.6206,0.6291,0.6269,0.4772
0.6,1.1,0.6,2.0,0.97,0.588,0.6068,0.5939,0.6599,0.4914
0.6,1.1,0.8,1.5,0.97,0.5879,0.6085,0.6046,0.6585,0.4799
0.0,2.0,0.8,2.0,0.98,0.5878,0.6018,0.5867,0.6489,0.514
0.2,1.5,0.6,2.0,0.97,0.5878,0.6064,0.5914,0.6655,0.4877
1.0,1.2,0.4,2.0,0.96,0.5878,0.6111,0.6081,0.6603,0.4717
1.0,2.0,1.0,1.5,0.93,0.5878,0.6239,0.6653,0.5697,0.4922
0.0,1.2,0.8,2.0,0.98,0.5878,0.6018,0.5867,0.6489,0.514
0.0,1.3,0.8,2.0,0.98,0.5878,0.6018,0.5867,0.6489,0.514
