alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
0.8,1.2,1.0,1.2,0.93,0.5767,0.6191,0.5908,0.6468,0.4499
0.4,2.0,1.0,1.2,0.94,0.5767,0.6185,0.5869,0.6565,0.4448
0.8,2.0,1.0,1.3,0.93,0.5766,0.6222,0.6234,0.5982,0.4628
0.4,1.3,0.8,1.2,0.95,0.5766,0.6147,0.579,0.6698,0.443
0.2,1.5,1.0,1.2,0.95,0.5765,0.6154,0.577,0.6675,0.4462
0.4,1.2,1.0,1.2,0.95,0.5765,0.6157,0.5813,0.6594,0.4494
0.6,1.2,0.6,1.2,0.96,0.5764,0.6102,0.5808,0.673,0.4415
0.4,1.2,0.4,1.5,0.98,0.5764,0.5993,0.5833,0.6705,0.4526
0.8,1.2,0.8,1.1,0.96,0.5764,0.6097,0.5848,0.6729,0.4381
0.8,1.2,0.2,1.5,0.97,0.5764,0.6043,0.5846,0.6758,0.4411
0.8,1.1,0.8,1.2,0.95,0.5763,0.6151,0.5784,0.6662,0.4454
0.8,1.2,0.4,1.2,0.96,0.5762,0.6096,0.5828,0.6746,0.4377
1.0,1.2,0.4,1.1,0.96,0.5762,0.609,0.586,0.6755,0.4343
0.8,1.3,1.0,1.1,0.94,0.5762,0.6165,0.5871,0.6642,0.4372
0.8,1.3,1.0,1.2,0.93,0.5762,0.6193,0.5959,0.6405,0.4492
0.6,1.1,0.6,1.3,0.97,0.5762,0.6062,0.58,0.668,0.4506
0.4,2.0,0.8,1.2,0.94,0.5761,0.6175,0.5823,0.6659,0.4388
1.0,1.3,0.2,1.5,0.95,0.5761,0.6135,0.5939,0.6583,0.4387
0.6,1.2,0.4,1.3,0.97,0.5761,0.6051,0.5818,0.6744,0.4431
1.0,1.2,0.2,1.2,0.96,0.576,0.609,0.5848,0.6763,0.4341
0.8,1.1,1.0,1.2,0.94,0.576,0.6184,0.5819,0.6542,0.4494
0.6,2.0,0.4,1.5,0.96,0.5759,0.6111,0.6004,0.6442,0.4478
0.8,1.3,0.8,1.1,0.95,0.5759,0.6137,0.5871,0.6664,0.4363
1.0,1.1,0.4,1.3,0.97,0.5759,0.6054,0.5812,0.672,0.445
0.4,1.2,0.8,1.2,0.96,0.5759,0.6109,0.5784,0.669,0.4453
0.6,1.3,1.0,1.1,0.95,0.5759,0.6138,0.5816,0.6716,0.4366
0.8,1.5,0.6,1.3,0.94,0.5758,0.6183,0.6002,0.6401,0.4447
1.0,1.1,0.6,1.2,0.96,0.5758,0.6105,0.5795,0.6699,0.4434
0.8,1.3,0.4,1.2,0.95,0.5758,0.6136,0.5855,0.6683,0.436
1.0,1.5,0.4,1.5,0.94,0.5757,0.6178,0.6096,0.6285,0.447
0.6,1.1,1.0,1.2,0.95,0.5757,0.6158,0.58,0.6569,0.45
0.2,2.0,0.4,1.5,0.98,0.5757,0.5991,0.5801,0.675,0.4486
0.2,2.0,0.8,1.2,0.97,0.5756,0.606,0.5786,0.6734,0.4444
1.0,1.5,1.0,1.3,0.93,0.5756,0.6221,0.6249,0.5918,0.4636
0.4,1.5,0.6,1.2,0.96,0.5756,0.6101,0.5794,0.6754,0.4377
0.2,1.5,0.6,1.3,0.97,0.5756,0.6058,0.5772,0.6727,0.4467
0.8,2.0,0.8,1.3,0.94,0.5755,0.6204,0.6179,0.6076,0.456
0.2,1.3,1.0,1.2,0.96,0.5755,0.6116,0.5778,0.6633,0.4493
1.0,1.2,1.0,1.2,0.93,0.5755,0.6196,0.5979,0.6324,0.452
0.2,1.1,0.8,1.3,0.97,0.5755,0.6071,0.5791,0.6594,0.4563
0.6,1.5,0.8,1.2,0.94,0.5754,0.6177,0.5901,0.6536,0.4402
0.6,1.2,0.2,2.0,0.98,0.5754,0.5981,0.5821,0.6721,0.4492
0.8,1.2,0.6,1.1,0.97,0.5754,0.6044,0.5842,0.676,0.4371
0.6,1.1,0.4,1.5,0.98,0.5754,0.5994,0.581,0.6681,0.453
1.0,1.1,1.0,1.2,0.93,0.5753,0.619,0.5834,0.6499,0.4489
0.4,1.5,0.4,1.3,0.97,0.5753,0.605,0.5809,0.6763,0.439
0.6,1.3,0.4,1.2,0.96,0.5752,0.6093,0.5798,0.6762,0.4353
0.6,1.3,0.8,1.1,0.96,0.5752,0.6094,0.5815,0.6742,0.4356
0.8,1.3,0.6,1.1,0.95,0.5752,0.6131,0.584,0.6707,0.433
0.6,1.3,0.2,1.5,0.97,0.5751,0.604,0.5822,0.6754,0.4387
1.0,1.1,0.2,2.0,0.97,0.5751,0.6042,0.5768,0.6701,0.4492
0.8,2.0,0.4,1.5,0.95,0.5751,0.6157,0.6119,0.6239,0.4488
1.0,1.3,0.6,1.2,0.94,0.5751,0.6173,0.5964,0.645,0.4417
0.8,1.3,0.2,1.3,0.96,0.5751,0.6091,0.585,0.6718,0.4347
0.6,1.5,0.4,1.3,0.96,0.575,0.6103,0.589,0.6627,0.4378
0.6,2.0,0.6,1.3,0.95,0.575,0.616,0.598,0.6408,0.4452
0.6,1.5,1.0,1.2,0.93,0.575,0.6191,0.5914,0.6454,0.444
0.8,1.5,0.2,2.0,0.96,0.5749,0.6096,0.5968,0.6491,0.4443
1.0,1.5,0.8,1.3,0.93,0.5749,0.6206,0.6158,0.6094,0.4539
0.6,1.2,1.0,1.1,0.96,0.5749,0.6098,0.5785,0.6725,0.4387
0.2,1.1,0.4,2.0,0.99,0.5749,0.5918,0.5793,0.659,0.4695
0.8,1.2,0.2,1.3,0.97,0.5748,0.6041,0.5811,0.6775,0.4365
0.4,1.1,1.0,1.2,0.96,0.5748,0.6117,0.5779,0.6592,0.4505
0.6,1.1,0.8,1.2,0.97,0.5748,0.6063,0.5791,0.6656,0.4483
1.0,1.2,0.2,1.1,0.97,0.5748,0.6037,0.5848,0.6774,0.4332
0.6,1.5,0.6,1.2,0.94,0.5747,0.6167,0.5856,0.6626,0.4341
0.2,1.2,1.0,1.2,0.96,0.5747,0.6115,0.5764,0.6616,0.4492
1.0,1.3,0.8,1.2,0.93,0.5747,0.6187,0.5986,0.636,0.4454
0.4,1.3,0.6,1.2,0.97,0.5747,0.6052,0.5787,0.6739,0.4413
0.2,1.5,0.4,1.5,0.98,0.5746,0.599,0.5782,0.6724,0.4489
0.6,1.5,0.2,2.0,0.97,0.5746,0.6043,0.5892,0.6607,0.4441
0.2,1.3,0.6,1.3,0.97,0.5745,0.6057,0.5755,0.6695,0.4473
0.2,1.5,0.8,1.2,0.97,0.5745,0.6059,0.5758,0.6719,0.4444
1.0,2.0,1.0,1.3,0.93,0.5745,0.623,0.6382,0.5704,0.4663
1.0,1.3,0.4,1.2,0.94,0.5745,0.6163,0.5905,0.6553,0.4358
1.0,1.3,0.8,1.1,0.94,0.5744,0.6164,0.5917,0.6534,0.4361
1.0,1.3,0.2,1.3,0.95,0.5743,0.6133,0.5899,0.6594,0.4347
1.0,1.3,1.0,1.1,0.94,0.5743,0.6169,0.5946,0.6465,0.4391
0.4,1.3,0.4,1.3,0.97,0.5743,0.6048,0.5772,0.6747,0.4405
0.8,1.3,0.4,1.1,0.95,0.5743,0.6126,0.5812,0.6737,0.4297
0.0,1.3,0.6,1.5,0.98,0.5741,0.6001,0.5789,0.6558,0.4618
0.0,1.5,0.6,1.5,0.98,0.5741,0.6001,0.5789,0.6558,0.4618
0.4,2.0,0.6,1.2,0.95,0.5741,0.6142,0.5788,0.6682,0.4351
0.0,1.1,0.6,1.5,0.98,0.5741,0.6001,0.5789,0.6558,0.4618
0.8,1.1,0.6,1.2,0.97,0.5741,0.6055,0.5766,0.6704,0.4438
0.0,1.2,0.6,1.5,0.98,0.5741,0.6001,0.5789,0.6558,0.4618
0.0,2.0,0.6,1.5,0.98,0.5741,0.6001,0.5789,0.6558,0.4618
1.0,2.0,0.4,1.5,0.95,0.574,0.6165,0.6249,0.6028,0.4519
0.6,1.3,0.6,1.1,0.97,0.574,0.6041,0.5813,0.6761,0.4346
0.6,1.5,1.0,1.1,0.94,0.574,0.6163,0.585,0.663,0.4316
0.8,1.3,0.2,1.2,0.96,0.574,0.6087,0.5829,0.6726,0.4318
0.4,1.5,0.2,2.0,0.97,0.5739,0.6037,0.5764,0.6734,0.442
1.0,1.3,0.6,1.1,0.94,0.5739,0.6159,0.5886,0.6581,0.4332
0.4,1.1,0.6,1.3,0.98,0.5738,0.6002,0.5777,0.6664,0.451
0.8,1.1,0.4,1.3,0.97,0.5738,0.6051,0.5748,0.6724,0.4431
0.4,1.5,1.0,1.1,0.96,0.5738,0.6097,0.5771,0.6736,0.4349
0.4,2.0,0.4,1.3,0.96,0.5737,0.61,0.5798,0.6683,0.4365
1.0,1.3,1.0,1.2,0.91,0.5737,0.6175,0.5978,0.633,0.4466
0.8,1.2,0.4,1.1,0.97,0.5737,0.6038,0.5789,0.6781,0.4339
1.0,1.1,1.0,1.1,0.96,0.5736,0.6101,0.5765,0.6671,0.4407
1.0,2.0,0.8,1.3,0.94,0.5736,0.6212,0.6317,0.5824,0.4591
1.0,1.5,0.6,1.3,0.94,0.5736,0.6189,0.6099,0.6183,0.4473
0.2,1.3,0.8,1.2,0.97,0.5736,0.6058,0.5742,0.6692,0.4451
1.0,1.5,0.2,2.0,0.95,0.5735,0.614,0.6029,0.6331,0.444
0.8,1.5,0.4,1.3,0.95,0.5735,0.6146,0.5955,0.6462,0.4375
0.6,1.2,0.4,1.2,0.98,0.5735,0.5986,0.5798,0.6759,0.4397
0.6,1.2,0.8,1.1,0.97,0.5735,0.6045,0.5773,0.6744,0.4378
0.8,1.2,0.2,1.2,0.97,0.5734,0.6038,0.5776,0.6785,0.4337
1.0,1.3,0.4,1.1,0.94,0.5734,0.6153,0.5858,0.662,0.4304
0.2,1.3,0.4,1.5,0.98,0.5734,0.5989,0.5764,0.6687,0.4497
0.6,1.3,0.2,1.3,0.97,0.5734,0.6038,0.5786,0.677,0.434
0.4,1.2,0.6,1.2,0.97,0.5732,0.6051,0.5735,0.6732,0.4412
0.2,1.2,0.6,1.3,0.98,0.5732,0.5999,0.5761,0.6673,0.4496
1.0,1.3,0.2,1.2,0.95,0.5732,0.613,0.5876,0.6601,0.4322
0.8,2.0,0.6,1.3,0.95,0.5732,0.6167,0.6121,0.6154,0.4487
0.2,1.1,1.0,1.2,0.97,0.5731,0.6067,0.5755,0.6591,0.451
0.4,1.3,0.2,2.0,0.98,0.5731,0.5978,0.5768,0.6712,0.4465
0.6,1.5,0.8,1.1,0.95,0.5731,0.6135,0.5845,0.6637,0.4307
0.4,1.3,1.0,1.1,0.97,0.5731,0.6048,0.5768,0.6725,0.4384
0.6,1.2,0.2,1.5,0.98,0.5731,0.5981,0.5783,0.6753,0.4406
0.0,2.0,0.8,1.3,0.98,0.573,0.601,0.5768,0.6573,0.4568
0.0,1.1,0.8,1.3,0.98,0.573,0.601,0.5768,0.6573,0.4568
0.0,1.5,0.8,1.3,0.98,0.573,0.601,0.5768,0.6573,0.4568
0.0,1.3,0.8,1.3,0.98,0.573,0.601,0.5768,0.6573,0.4568
1.0,1.1,0.4,1.2,0.97,0.573,0.6047,0.5738,0.6741,0.4394
0.0,1.2,0.8,1.3,0.98,0.573,0.601,0.5768,0.6573,0.4568
0.4,1.1,0.4,1.5,0.98,0.5729,0.5991,0.5754,0.6664,0.4509
1.0,1.2,0.0,1.3,0.97,0.5728,0.6032,0.5794,0.6784,0.4301
0.4,1.2,0.4,1.3,0.98,0.5728,0.5989,0.5756,0.6738,0.4428
1.0,1.1,0.8,1.1,0.96,0.5728,0.6096,0.5718,0.6721,0.4376
1.0,1.2,0.0,1.5,0.97,0.5728,0.6032,0.5794,0.6784,0.4301
1.0,1.2,0.0,2.0,0.97,0.5728,0.6032,0.5794,0.6784,0.4301
0.6,1.5,0.4,1.2,0.96,0.5728,0.6096,0.5855,0.6638,0.4324
1.0,1.2,0.0,1.2,0.97,0.5728,0.6032,0.5794,0.6784,0.4301
0.8,1.1,0.2,2.0,0.98,0.5728,0.5981,0.5745,0.6691,0.4496
0.8,1.3,0.2,1.1,0.96,0.5728,0.6082,0.5807,0.6735,0.4287
1.0,1.2,0.0,1.1,0.97,0.5728,0.6032,0.5794,0.6784,0.4301
1.0,1.1,0.2,1.5,0.97,0.5728,0.6042,0.5729,0.6738,0.4403
0.4,1.5,0.4,1.2,0.97,0.5726,0.6043,0.5746,0.6779,0.4336
0.4,1.1,0.8,1.2,0.98,0.5726,0.6002,0.5764,0.6652,0.4488
0.4,2.0,1.0,1.1,0.95,0.5726,0.6138,0.5769,0.667,0.4327
0.6,1.5,0.2,1.5,0.96,0.5726,0.6091,0.5848,0.6632,0.4332
0.4,1.5,0.8,1.1,0.96,0.5725,0.6091,0.5725,0.6768,0.4316
0.8,2.0,0.2,2.0,0.96,0.5725,0.6103,0.6061,0.6275,0.4459
1.0,1.3,0.2,1.1,0.95,0.5725,0.6125,0.5853,0.6627,0.4295
0.6,1.3,0.4,1.1,0.97,0.5724,0.6036,0.5768,0.6777,0.4314
0.8,1.5,0.2,1.5,0.96,0.5724,0.6096,0.5945,0.6505,0.4351
0.2,2.0,0.6,1.2,0.97,0.5724,0.6049,0.5697,0.6774,0.4377
0.2,1.2,0.8,1.2,0.98,0.5723,0.6,0.5748,0.6671,0.4474
0.4,2.0,0.2,2.0,0.97,0.5722,0.6041,0.5779,0.6647,0.4421
0.6,2.0,0.2,2.0,0.97,0.5722,0.6048,0.5944,0.6449,0.4449
0.8,1.1,1.0,1.1,0.96,0.5721,0.6098,0.5701,0.6697,0.4389
0.6,1.3,0.2,1.2,0.97,0.5721,0.6035,0.5756,0.678,0.4312
0.2,1.2,0.4,1.5,0.98,0.5721,0.5988,0.5739,0.6663,0.4495
0.6,2.0,0.8,1.2,0.94,0.5721,0.6182,0.5936,0.636,0.4404
0.8,1.5,0.8,1.2,0.94,0.572,0.6183,0.5989,0.6286,0.4423
0.6,1.1,0.6,1.2,0.97,0.572,0.6052,0.5701,0.6709,0.442
0.6,1.2,0.6,1.1,0.97,0.572,0.604,0.5725,0.6768,0.4346
0.8,1.5,0.6,1.2,0.94,0.572,0.6172,0.5939,0.6412,0.4358
0.2,2.0,0.4,1.3,0.98,0.5719,0.5988,0.5717,0.6778,0.4393
0.4,1.5,0.2,1.5,0.97,0.5719,0.6037,0.5732,0.6762,0.4346
0.6,2.0,1.0,1.2,0.93,0.5718,0.6196,0.5953,0.6279,0.4444
0.0,2.0,0.4,2.0,0.99,0.5717,0.5914,0.5738,0.6542,0.4674
0.6,1.5,0.6,1.1,0.96,0.5717,0.6091,0.5837,0.6643,0.4298
0.0,1.2,0.4,2.0,0.99,0.5717,0.5914,0.5738,0.6542,0.4674
0.0,1.3,0.4,2.0,0.99,0.5717,0.5914,0.5738,0.6542,0.4674
0.6,2.0,0.4,1.3,0.96,0.5717,0.6108,0.5925,0.6455,0.438
0.0,1.5,0.4,2.0,0.99,0.5717,0.5914,0.5738,0.6542,0.4674
1.0,2.0,0.6,1.3,0.94,0.5717,0.6197,0.6215,0.596,0.4495
0.0,1.1,0.4,2.0,0.99,0.5717,0.5914,0.5738,0.6542,0.4674
1.0,2.0,0.2,2.0,0.96,0.5716,0.6111,0.618,0.6085,0.4489
0.4,1.3,0.8,1.1,0.97,0.5716,0.6042,0.5722,0.6749,0.4352
1.0,1.5,0.4,1.3,0.94,0.5716,0.6174,0.6016,0.6295,0.4378
0.8,1.2,0.2,1.1,0.97,0.5716,0.6033,0.5733,0.6792,0.4308
0.6,1.1,0.4,1.3,0.98,0.5716,0.599,0.5721,0.6718,0.4435
0.4,1.3,0.4,1.2,0.97,0.5716,0.6041,0.5707,0.6766,0.4349
1.0,1.1,0.6,1.1,0.97,0.5716,0.6043,0.5706,0.6747,0.4367
0.8,1.5,1.0,1.2,0.93,0.5714,0.6197,0.6006,0.6187,0.4465
0.4,1.2,1.0,1.1,0.97,0.5714,0.6047,0.5705,0.6719,0.4385
0.4,1.2,0.2,2.0,0.99,0.5714,0.5907,0.575,0.6706,0.4492
0.2,1.5,0.6,1.2,0.97,0.5713,0.6048,0.5671,0.6754,0.4378
1.0,1.3,0.0,1.2,0.96,0.5712,0.6082,0.5849,0.6633,0.4284
1.0,1.3,0.0,2.0,0.96,0.5712,0.6082,0.5849,0.6633,0.4284
0.6,2.0,0.6,1.2,0.94,0.5712,0.6172,0.5884,0.645,0.4341
0.8,1.5,1.0,1.1,0.94,0.5712,0.6169,0.5931,0.6417,0.433
1.0,1.3,0.0,1.1,0.96,0.5712,0.6082,0.5849,0.6633,0.4284
1.0,1.3,0.0,1.3,0.96,0.5712,0.6082,0.5849,0.6633,0.4284
1.0,1.3,0.0,1.5,0.96,0.5712,0.6082,0.5849,0.6633,0.4284
0.2,1.1,0.6,1.3,0.98,0.5712,0.5998,0.5722,0.6637,0.449
0.4,2.0,0.8,1.1,0.96,0.5712,0.6095,0.5758,0.6677,0.4317
0.6,1.2,0.2,1.3,0.98,0.5712,0.5979,0.5735,0.6773,0.4361
0.8,1.5,0.4,1.2,0.94,0.5711,0.6162,0.5892,0.6496,0.4295
0.4,2.0,0.4,1.2,0.96,0.571,0.6093,0.5739,0.6696,0.4314
0.8,1.5,0.8,1.1,0.94,0.571,0.6163,0.5908,0.647,0.4298
0.8,1.1,0.4,1.2,0.97,0.571,0.6044,0.5673,0.6747,0.4377
0.8,1.1,0.8,1.1,0.96,0.5709,0.6093,0.5654,0.6734,0.4357
0.6,1.5,0.2,1.3,0.97,0.5709,0.6041,0.5843,0.6639,0.4312
1.0,1.1,0.2,1.3,0.97,0.5709,0.604,0.5676,0.6761,0.4361
0.4,1.5,0.6,1.1,0.97,0.5709,0.6038,0.5713,0.678,0.4305
1.0,1.5,0.2,1.5,0.95,0.5709,0.614,0.6,0.6342,0.4354
0.4,1.3,0.2,1.5,0.98,0.5709,0.5978,0.5731,0.6745,0.438
0.8,1.3,0.0,1.1,0.97,0.5708,0.6029,0.5802,0.6723,0.4276
0.8,1.3,0.0,1.3,0.97,0.5708,0.6029,0.5802,0.6723,0.4276
0.8,1.3,0.0,1.2,0.97,0.5708,0.6029,0.5802,0.6723,0.4276
0.8,1.3,0.0,1.5,0.97,0.5708,0.6029,0.5802,0.6723,0.4276
0.8,1.3,0.0,2.0,0.97,0.5708,0.6029,0.5802,0.6723,0.4276
0.8,1.5,0.2,1.3,0.96,0.5707,0.6095,0.5914,0.6514,0.4305
0.2,1.5,0.4,1.3,0.98,0.5707,0.5986,0.5691,0.6756,0.4394
0.0,1.3,1.0,1.2,0.98,0.5706,0.6007,0.573,0.6574,0.4514
0.0,2.0,1.0,1.2,0.98,0.5706,0.6007,0.573,0.6574,0.4514
0.0,1.1,1.0,1.2,0.98,0.5706,0.6007,0.573,0.6574,0.4514
0.0,1.2,1.0,1.2,0.98,0.5706,0.6007,0.573,0.6574,0.4514
0.2,2.0,1.0,1.1,0.97,0.5706,0.6045,0.5665,0.6764,0.4349
0.0,1.5,1.0,1.2,0.98,0.5706,0.6007,0.573,0.6574,0.4514
0.6,1.1,0.2,2.0,0.98,0.5705,0.5978,0.5684,0.6685,0.4474
0.8,1.5,0.6,1.1,0.94,0.5705,0.6158,0.5882,0.6513,0.4268
0.8,1.1,0.2,1.5,0.97,0.5705,0.6039,0.5664,0.6734,0.4384
0.8,2.0,0.4,1.3,0.95,0.5704,0.6153,0.6031,0.6249,0.4385
0.6,1.3,0.2,1.1,0.98,0.5703,0.5972,0.5756,0.6781,0.4303
0.2,1.3,0.6,1.2,0.97,0.5703,0.6047,0.5653,0.6725,0.4388
0.6,1.1,1.0,1.1,0.97,0.5703,0.6048,0.5672,0.6698,0.4393
0.4,2.0,0.2,1.5,0.97,0.5702,0.6041,0.5758,0.6669,0.4342
0.6,1.2,0.4,1.1,0.97,0.5701,0.6034,0.5671,0.6784,0.4316
0.2,1.1,0.8,1.2,0.98,0.57,0.5999,0.5699,0.6635,0.4468
0.6,2.0,1.0,1.1,0.94,0.57,0.6168,0.588,0.6439,0.4314
0.2,1.1,0.4,1.5,0.98,0.57,0.5987,0.5696,0.6628,0.4488
0.2,2.0,0.2,2.0,0.99,0.57,0.5905,0.5705,0.6736,0.4452
0.4,1.3,0.6,1.1,0.97,0.57,0.6036,0.5674,0.6768,0.4321
0.4,1.2,0.4,1.2,0.98,0.5699,0.5982,0.568,0.676,0.4372
0.6,1.5,0.4,1.1,0.97,0.5699,0.6038,0.5827,0.6643,0.4288
1.0,1.1,0.4,1.1,0.97,0.5699,0.6037,0.5652,0.6775,0.4333
0.8,1.5,0.4,1.1,0.95,0.5699,0.613,0.5882,0.6527,0.4258
0.4,1.2,0.8,1.1,0.97,0.5699,0.6041,0.5658,0.6745,0.4355
0.4,1.5,0.2,1.3,0.98,0.5699,0.5978,0.5723,0.6775,0.4322
0.6,1.2,0.2,1.2,0.98,0.5698,0.5976,0.5698,0.6784,0.4335
0.8,1.5,0.2,1.2,0.96,0.5696,0.6091,0.5897,0.6519,0.4278
0.6,2.0,0.2,1.5,0.96,0.5696,0.6096,0.5879,0.6476,0.4333
0.8,1.1,0.6,1.1,0.97,0.5696,0.6039,0.5642,0.6759,0.4346
0.2,1.3,0.4,1.3,0.98,0.5696,0.5985,0.5672,0.6724,0.4402
0.6,1.5,0.2,1.2,0.97,0.5696,0.6038,0.5814,0.6646,0.4286
0.4,1.1,0.6,1.2,0.98,0.5695,0.5991,0.5671,0.6695,0.4424
0.2,1.5,1.0,1.1,0.97,0.5695,0.6044,0.5641,0.6745,0.4351
1.0,1.5,0.6,1.2,0.94,0.5695,0.6178,0.6026,0.6191,0.4385
1.0,1.1,0.2,1.2,0.97,0.5695,0.6036,0.564,0.6774,0.4331
0.4,2.0,0.6,1.1,0.96,0.5694,0.6089,0.5711,0.6695,0.4284
0.8,2.0,0.8,1.2,0.94,0.5694,0.619,0.6068,0.6084,0.4435
0.8,1.2,0.0,1.5,0.98,0.5694,0.5969,0.5718,0.679,0.4298
0.8,1.2,0.0,1.3,0.98,0.5694,0.5969,0.5718,0.679,0.4298
0.8,1.2,0.0,2.0,0.98,0.5694,0.5969,0.5718,0.679,0.4298
0.8,1.2,0.0,1.1,0.98,0.5694,0.5969,0.5718,0.679,0.4298
1.0,1.5,0.8,1.2,0.93,0.5694,0.6192,0.6054,0.6103,0.4427
0.8,1.2,0.0,1.2,0.98,0.5694,0.5969,0.5718,0.679,0.4298
0.6,2.0,0.8,1.1,0.95,0.5693,0.614,0.5877,0.6451,0.4305
0.8,2.0,0.2,1.5,0.96,0.5693,0.6103,0.6021,0.6287,0.436
0.6,2.0,0.4,1.2,0.96,0.5693,0.6101,0.5885,0.6463,0.4324
1.0,2.0,0.4,1.3,0.95,0.5692,0.6161,0.6149,0.6035,0.4424
0.4,1.1,0.4,1.3,0.98,0.5691,0.5987,0.5656,0.6704,0.4416
0.4,1.2,0.2,1.5,0.99,0.5691,0.5907,0.5712,0.6742,0.4402
0.8,2.0,1.0,1.2,0.93,0.569,0.6204,0.6088,0.5991,0.4477
0.2,1.5,0.2,2.0,0.99,0.569,0.5904,0.5691,0.671,0.4454
0.8,2.0,0.6,1.2,0.94,0.569,0.6179,0.601,0.6203,0.4366
1.0,1.5,0.4,1.2,0.94,0.569,0.6168,0.5973,0.6302,0.4318
1.0,1.5,0.2,1.3,0.94,0.569,0.6161,0.5945,0.637,0.4282
0.4,1.3,0.2,1.3,0.98,0.569,0.5976,0.5683,0.6765,0.4336
0.2,1.2,0.6,1.2,0.98,0.569,0.5989,0.5656,0.6704,0.4411
0.6,1.1,0.8,1.1,0.97,0.569,0.6042,0.5625,0.6734,0.4359
0.2,2.0,0.8,1.1,0.97,0.5689,0.604,0.5617,0.678,0.4317
0.2,2.0,0.4,1.2,0.98,0.5688,0.5981,0.5639,0.6796,0.4335
0.4,1.5,0.4,1.1,0.97,0.5688,0.6033,0.5658,0.679,0.4273
0.6,1.1,0.4,1.2,0.98,0.5688,0.5983,0.5646,0.6741,0.438
0.2,1.3,1.0,1.1,0.97,0.5687,0.6043,0.5624,0.6721,0.4362
0.8,1.1,0.2,1.3,0.97,0.5687,0.6037,0.5612,0.6758,0.434
0.8,1.5,0.2,1.1,0.96,0.5686,0.6086,0.5879,0.6532,0.4248
0.4,2.0,0.2,1.3,0.97,0.5685,0.6039,0.5717,0.6683,0.43
1.0,1.5,0.8,1.1,0.94,0.5685,0.6169,0.5982,0.6269,0.4321
1.0,2.0,0.2,1.5,0.95,0.5684,0.6149,0.6105,0.6111,0.4373
0.4,1.5,0.2,1.2,0.97,0.5684,0.6032,0.5645,0.6789,0.4271
1.0,1.5,1.0,1.2,0.92,0.5684,0.6194,0.6076,0.6001,0.4466
0.0,1.3,0.6,1.3,0.98,0.5683,0.5995,0.5659,0.6608,0.447
0.2,1.2,0.4,1.3,0.98,0.5683,0.5985,0.5641,0.6703,0.4403
0.6,1.1,0.2,1.5,0.98,0.5683,0.5978,0.5638,0.6727,0.4388
0.4,1.2,0.6,1.1,0.97,0.5683,0.6035,0.5611,0.6766,0.432
0.0,1.2,0.6,1.3,0.98,0.5683,0.5995,0.5659,0.6608,0.447
0.0,1.1,0.6,1.3,0.98,0.5683,0.5995,0.5659,0.6608,0.447
0.0,1.5,0.6,1.3,0.98,0.5683,0.5995,0.5659,0.6608,0.447
0.0,2.0,0.6,1.3,0.98,0.5683,0.5995,0.5659,0.6608,0.447
1.0,1.5,1.0,1.1,0.93,0.5683,0.6178,0.5984,0.624,0.433
1.0,1.5,0.6,1.1,0.94,0.5683,0.6163,0.5955,0.6323,0.4288
0.6,2.0,0.6,1.1,0.96,0.5681,0.6096,0.5869,0.6462,0.4296
0.4,1.3,0.4,1.1,0.98,0.568,0.5973,0.5659,0.6776,0.4311
1.0,1.1,0.2,1.1,0.97,0.568,0.6031,0.5598,0.6791,0.4297
0.8,2.0,1.0,1.1,0.94,0.568,0.6175,0.5998,0.6207,0.4337
0.4,1.1,1.0,1.1,0.97,0.568,0.6044,0.5609,0.6696,0.4372
0.6,1.2,0.2,1.1,0.98,0.568,0.5971,0.5655,0.679,0.4306
0.2,1.5,0.8,1.1,0.97,0.5679,0.6038,0.5594,0.6763,0.432
0.6,1.5,0.2,1.1,0.97,0.5679,0.6033,0.5776,0.6649,0.4259
0.6,1.3,0.0,1.3,0.98,0.5678,0.5967,0.5699,0.6776,0.4272
0.8,1.1,0.4,1.1,0.97,0.5678,0.6034,0.5589,0.6778,0.431
1.0,1.5,0.4,1.1,0.94,0.5678,0.6158,0.593,0.637,0.4256
1.0,1.5,0.2,1.2,0.94,0.5678,0.6157,0.5926,0.6374,0.4254
0.8,2.0,0.4,1.2,0.95,0.5678,0.6146,0.5984,0.6255,0.4325
0.2,1.3,0.2,2.0,0.99,0.5678,0.5903,0.5672,0.6673,0.4466
0.6,1.3,0.0,1.1,0.98,0.5678,0.5967,0.5699,0.6776,0.4272
0.6,1.3,0.0,2.0,0.98,0.5678,0.5967,0.5699,0.6776,0.4272
0.6,1.3,0.0,1.5,0.98,0.5678,0.5967,0.5699,0.6776,0.4272
0.6,1.3,0.0,1.2,0.98,0.5678,0.5967,0.5699,0.6776,0.4272
0.2,2.0,0.2,1.5,0.99,0.5678,0.5905,0.5673,0.6768,0.4367
0.2,1.5,0.4,1.2,0.98,0.5677,0.5979,0.5615,0.6778,0.4338
0.6,2.0,0.2,1.3,0.96,0.5677,0.6094,0.584,0.6485,0.429
0.4,1.1,0.2,2.0,0.99,0.5677,0.5904,0.5658,0.6669,0.4477
0.4,1.3,0.2,1.2,0.98,0.5676,0.5972,0.5646,0.6777,0.431
0.8,2.0,0.8,1.1,0.95,0.5675,0.6147,0.6001,0.6226,0.4328
0.2,1.2,1.0,1.1,0.97,0.5675,0.6042,0.5594,0.6705,0.4359
