test_bearing,score,mean_er,dataset
1,0.7931628366082235,-1.9107663175906309,Train
2,0.836569735602815,5.4638751470097775,Train
3,0.823975857219439,0.2211669870076146,Train
4,0.8059187278778722,2.2942087012604806,Train
