w_dtw,cf,overall,B1,B2,B3,B4
0.5,0.8800000000000003,0.5220490322704009,0.562237171838112,0.5093298040037819,0.5619613088414085,0.4546678443983012
0.55,0.9000000000000004,0.5322696655217972,0.5804276410108415,0.5177202954122396,0.5768638658960829,0.45406685976802486
0.6,0.9300000000000004,0.5431432828385693,0.6045860142919877,0.5310430730820497,0.5810837588581311,0.4558602851221084
0.65,0.9300000000000004,0.5519154048318167,0.6097009607099216,0.5307209265704338,0.6174907094866529,0.4497490225602587
0.7,0.9500000000000004,0.5565442529023553,0.6167897726299457,0.5334972314288016,0.6272710504573323,0.4486189570933416
0.75,0.9900000000000004,0.5606329949583003,0.6287277012285513,0.5414344379936443,0.6204185271694627,0.4519513134415433
0.8,1.0300000000000005,0.5648181882483881,0.6387860386958957,0.5520712691773084,0.6135004521308358,0.45491499298951266
0.85,1.0400000000000005,0.5676844705807113,0.6394797651295513,0.553605347831111,0.626973947988642,0.45067882137354054
0.9,1.0100000000000005,0.5672112983719599,0.6286613943243039,0.540551629589538,0.6623279759874355,0.4373041935865624
0.95,1.0000000000000004,0.5606976128480603,0.6113275941103876,0.5350565703635041,0.6677779022246418,0.4286283846937079
1.0,1.0000000000000004,0.5498801089380938,0.5808253957993572,0.534410832252941,0.6616664173384276,0.4226177903616492
