bearing,n_total,n_low,n_high,hi_start,hi_end,mon,tred,q_score
1,126,65,61,0.0018,0.3924,0.184,0.9586,0.5713
2,114,59,55,0.0,0.4309,0.3628,0.9192,0.641
3,89,46,43,0.001,0.1383,0.6364,0.9944,0.8154
4,137,70,67,0.5601,0.8429,0.0441,0.9577,0.5009
