model,cf,score
lgbm,0.64,0.4716851587815322
zoo_raw,0.62,0.45793569133494305
gru,1.0800000000000005,0.4519632860387084
dtw,0.64,0.43629067880588324
lstm,0.64,0.43481295553427013
tcn,0.66,0.4144406196797275
