bearing,model,score,mean_er,mae_cycles,bias_cycles,over_pred_rate,last_true,last_pred
1,lgbm,0.6448988412188439,-0.8493978488962108,10.000955534903015,-6.03588440309759,0.40594059405940597,1.0,10.726995798107108
1,lstm,0.5855116480074297,44.51372475602602,14.491219614992048,-13.754909619246378,0.12871287128712872,1.0,1.0
1,gru,0.6604324602307517,28.559678634633254,10.439747245004861,-10.31281863226749,0.039603960396039604,1.0,3.533982276916504
1,tcn,0.5033377301142008,48.84300907295097,21.719531281159657,-21.645705586612813,0.0297029702970297,1.0,3.2639007568359375
1,dtw,0.37797768318083574,-161.75380868597605,34.49816276726185,-1.7486850872407467,0.33663366336633666,1.0,47.49764021575575
1,zoo_raw,0.6463517993432367,18.310278824452382,11.150891000489517,-10.697323409524307,0.06930693069306931,1.0,6.764536541778632
1,final,0.4937833564081734,35.45638537670642,22.673949361817343,-22.222966017982458,0.06930693069306931,1.0,6.865277310788549
2,lgbm,0.5008294170877549,-38.83076393351167,14.330829233992395,0.9132694192921742,0.5393258426966292,1.0,15.389989785610847
2,lstm,0.5196128964744497,54.775462933140425,17.502489904339395,-17.502489904339395,0.0,1.0,1.0
2,gru,0.5525838063068282,48.97421569012253,15.429297917344597,-15.429297917344597,0.0,1.0,1.0
2,tcn,0.534447367385222,45.792981883648004,17.587572839822663,-17.529796426215867,0.02247191011235955,1.0,2.8476603031158447
2,dtw,0.5544597083489199,-0.500980244463233,17.89642552984545,-16.707403682947106,0.033707865168539325,1.0,23.912008764876635
2,zoo_raw,0.5819220253567785,24.20094003705237,14.384118887302641,-13.9856229164553,0.033707865168539325,1.0,8.951448959251428
2,final,0.5654077428831318,11.148311082552524,17.35830445738352,-15.615507571653009,0.15730337078651685,1.0,9.849593462790942
3,lgbm,0.09296582616372133,-187.74196827010212,27.32146622600856,27.32146622600856,1.0,1.0,23.4109645151391
3,lstm,0.10206648535729819,-184.97880664322483,24.035791605710983,24.035791605710983,1.0,1.0,25.693246841430664
3,gru,0.061890223932234395,-179.7410747506692,28.29551449418068,28.29551449418068,1.0,1.0,21.401336669921875
3,tcn,0.10905618247614186,-158.05210190544597,23.935728788375854,23.935728788375854,1.0,1.0,19.1771240234375
3,dtw,0.12497735224820686,-86.47039584481942,18.596235942172882,18.596235942172882,1.0,1.0,8.528013403764486
3,zoo_raw,0.10054095635313182,-137.47081914364696,22.264362456358597,22.264362456358597,1.0,1.0,16.533660555628366
3,final,0.504447518819275,-84.15485969286536,8.32578931255348,5.785738384645477,0.71875,1.0,14.983017289689023
4,lgbm,0.37424952950978624,10.610255179171466,37.68717925032821,-34.606417276206244,0.10714285714285714,1.0,21.77975655596151
4,lstm,0.4302459654652714,40.475602180035075,32.631774604320526,-32.02876754317965,0.0625,1.0,9.563874244689941
4,gru,0.4699807077699648,28.370251180193264,28.185522258281708,-27.17419637101037,0.08928571428571429,1.0,12.754106521606445
4,tcn,0.45703674671505334,-68.97574748671728,32.75290597336633,-25.334435284137726,0.17857142857142858,1.0,47.09502410888672
4,dtw,0.34715722944365585,72.16875861946876,42.590774063005675,-42.51429559824367,0.026785714285714284,1.0,3.4247421978543238
4,zoo_raw,0.4230990605431086,6.3292338755020285,32.62219406602423,-30.00133880758306,0.10714285714285714,1.0,21.64924985260414
4,final,0.3231020170155488,42.79056331466974,44.01850717113931,-42.48810705677199,0.09821428571428571,1.0,13.939044195815367
