bearing,regime,mon,tred
1,레짐1,0.9375,0.9957604895104895
1,레짐2,0.5666666666666667,0.9897408778424114
2,레짐1,0.6896551724137931,0.9877849210987728
2,레짐2,0.5555555555555556,0.9742424242424245
3,레짐1,0.6888888888888889,0.9525131051495528
3,레짐2,0.14285714285714285,0.8538205980066446
4,레짐1,0.4782608695652174,0.9617181348963345
4,레짐2,0.696969696969697,0.9744592545294919
