w_th,alpha,cap,cf,overall,B1,B2,B3,B4
0.1,0.4,1.3,0.96,0.5702,0.6425,0.555,0.6543,0.4292
0.4,0.2,1.5,0.99,0.5702,0.6417,0.5858,0.6444,0.409
0.3,0.2,1.1,1.0,0.5702,0.6339,0.5653,0.6776,0.4041
0.1,0.2,1.8,0.96,0.57,0.6362,0.5511,0.6596,0.4331
0.2,0.2,1.3,0.98,0.57,0.6383,0.5579,0.6692,0.4147
0.35,0.0,1.5,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.3,1.0,1.2,0.94,0.5699,0.6523,0.5877,0.6171,0.4226
0.35,0.0,1.8,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.35,0.0,1.2,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.2,0.8,1.3,0.92,0.5699,0.6588,0.5744,0.6129,0.4334
0.5,0.2,1.3,1.0,0.5699,0.628,0.5956,0.6583,0.3976
0.0,0.6,1.3,0.94,0.5699,0.6465,0.5492,0.6382,0.4457
0.1,1.0,1.3,0.89,0.5699,0.6607,0.5658,0.6072,0.446
0.35,0.0,1.3,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.35,0.0,2.0,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.35,0.0,1.1,1.02,0.5699,0.6285,0.5728,0.6779,0.4006
0.1,0.4,1.5,0.94,0.5698,0.6511,0.5593,0.6289,0.4398
0.4,0.2,2.0,0.98,0.5697,0.6461,0.5839,0.6287,0.4203
0.0,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
0.1,1.0,1.1,0.96,0.5694,0.6398,0.5516,0.6606,0.4255
0.4,0.8,1.2,0.95,0.5693,0.6388,0.593,0.6345,0.411
0.1,0.2,2.0,0.95,0.5693,0.6378,0.5476,0.6589,0.4329
0.2,0.4,1.5,0.94,0.569,0.6561,0.5651,0.624,0.4308
0.2,0.4,1.1,0.98,0.5685,0.6354,0.5545,0.673,0.4113
0.3,0.0,1.1,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.3,0.0,1.3,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.3,0.0,1.8,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.3,0.0,1.2,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.3,0.0,2.0,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.3,0.0,1.5,1.02,0.5684,0.6247,0.5672,0.6776,0.4041
0.6,0.0,1.8,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.6,0.0,2.0,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.6,0.0,1.2,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.6,0.0,1.5,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.6,0.0,1.3,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.1,0.4,1.8,0.9,0.5684,0.6414,0.5485,0.6392,0.4444
0.6,0.0,1.1,1.03,0.5684,0.6097,0.606,0.6705,0.3874
0.2,0.2,1.2,0.98,0.5684,0.6351,0.5543,0.673,0.4113
0.6,0.2,1.1,1.02,0.5683,0.6128,0.607,0.6647,0.3889
0.35,0.6,1.3,0.95,0.5681,0.6467,0.5883,0.6199,0.4175
0.6,0.4,1.1,1.01,0.5681,0.6156,0.6078,0.6586,0.3903
0.35,1.0,1.2,0.93,0.5679,0.6403,0.5891,0.6254,0.4167
0.1,0.8,1.1,0.97,0.5677,0.633,0.5508,0.6632,0.4239
0.0,0.4,1.8,0.9,0.5677,0.6337,0.5423,0.6458,0.4492
0.6,0.2,1.2,1.01,0.5676,0.6152,0.6061,0.6587,0.3903
0.1,0.2,1.5,0.96,0.5675,0.6354,0.548,0.6614,0.4253
0.1,0.4,1.2,0.97,0.5675,0.6325,0.5505,0.6633,0.4239
0.6,0.6,1.1,1.01,0.5675,0.6188,0.6128,0.645,0.3933
0.5,0.6,1.2,0.97,0.5674,0.6277,0.5994,0.6406,0.402
0.2,0.4,1.8,0.9,0.5673,0.6431,0.5537,0.6343,0.4382
0.1,0.4,2.0,0.9,0.5669,0.6423,0.5479,0.6299,0.4476
0.0,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.2,0.4,2.0,0.9,0.5666,0.6443,0.5541,0.624,0.444
0.0,0.6,1.2,0.95,0.5665,0.6336,0.5418,0.6549,0.4357
0.2,0.2,1.1,1.0,0.5663,0.6241,0.5568,0.673,0.4114
0.6,0.2,1.3,1.01,0.5661,0.6175,0.6085,0.645,0.3933
0.5,0.2,1.5,0.99,0.5661,0.6289,0.5938,0.6391,0.4024
0.2,1.0,1.3,0.88,0.566,0.6481,0.5721,0.6097,0.4341
0.0,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.5,0.4,1.3,0.97,0.5659,0.6253,0.5956,0.6407,0.402
0.3,0.4,1.5,0.94,0.5658,0.6484,0.5737,0.6185,0.4226
0.1,0.6,1.5,0.88,0.5658,0.6469,0.5546,0.6185,0.4431
0.4,1.0,1.2,0.92,0.5658,0.6288,0.5903,0.633,0.4113
0.1,0.6,1.1,0.97,0.5657,0.629,0.5464,0.6673,0.4202
0.4,0.6,1.3,0.94,0.5657,0.6341,0.5889,0.6277,0.4121
0.6,0.8,1.1,0.99,0.5657,0.615,0.6088,0.6461,0.3931
0.0,0.2,2.0,0.95,0.5656,0.6236,0.5395,0.6612,0.4381
0.0,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
0.0,0.2,1.8,0.95,0.5656,0.6233,0.539,0.6628,0.4374
0.1,0.2,1.3,0.97,0.5654,0.6283,0.5458,0.6673,0.4202
0.7,0.0,1.3,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.7,0.0,2.0,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.7,0.0,1.8,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.7,0.0,1.5,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.7,0.0,1.1,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.7,0.0,1.2,1.03,0.5652,0.6007,0.6138,0.6637,0.3826
0.0,0.6,1.5,0.9,0.5652,0.6456,0.5516,0.6063,0.4574
0.3,0.8,1.3,0.91,0.565,0.6404,0.5802,0.6168,0.4227
0.0,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.6,0.4,1.2,0.99,0.5647,0.6141,0.6055,0.6461,0.3931
0.7,0.2,1.1,1.02,0.5644,0.6027,0.6138,0.6573,0.384
0.5,0.2,1.8,0.97,0.5643,0.6259,0.5865,0.6376,0.4073
0.6,1.0,1.1,0.98,0.5638,0.6136,0.6091,0.6379,0.3945
0.2,0.0,2.0,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.2,0.0,1.8,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.2,0.0,1.5,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.2,0.0,1.3,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.2,0.0,1.2,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.2,0.0,1.1,1.01,0.5637,0.6158,0.5559,0.6735,0.4094
0.1,0.4,1.1,0.98,0.5633,0.6209,0.5456,0.668,0.4186
0.0,0.6,1.8,0.82,0.5632,0.6209,0.5344,0.6473,0.4501
0.3,0.4,1.8,0.89,0.5632,0.6281,0.5568,0.6393,0.4286
0.1,0.2,1.2,0.98,0.5632,0.6207,0.5454,0.6681,0.4186
0.5,0.8,1.2,0.94,0.5632,0.6182,0.5952,0.6369,0.4027
0.35,0.4,1.5,0.93,0.5631,0.6351,0.5738,0.6268,0.4167
0.0,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.7,0.4,1.1,1.01,0.563,0.6032,0.6133,0.6502,0.3853
0.5,0.2,2.0,0.97,0.5629,0.6292,0.5869,0.6237,0.4116
0.0,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.35,0.8,1.3,0.9,0.5626,0.6276,0.5808,0.6255,0.4167
0.0,0.2,1.5,0.95,0.5625,0.6227,0.5356,0.6606,0.4313
0.7,0.2,1.2,1.01,0.5625,0.6027,0.612,0.6502,0.3853
0.2,0.6,1.5,0.88,0.5624,0.6436,0.5607,0.6113,0.4339
0.3,0.4,2.0,0.89,0.5617,0.6294,0.5581,0.6231,0.4364
0.1,0.6,1.8,0.82,0.5615,0.6207,0.539,0.6394,0.4467
0.0,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
0.35,0.4,1.8,0.89,0.561,0.6232,0.5611,0.6349,0.4249
0.7,0.6,1.1,0.99,0.5607,0.5986,0.6079,0.6509,0.3851
0.0,0.6,2.0,0.82,0.5606,0.6217,0.5366,0.6329,0.4514
0.4,0.4,1.5,0.92,0.5606,0.6221,0.5744,0.6345,0.4113
0.0,0.6,1.1,0.96,0.5605,0.6181,0.5337,0.6643,0.4261
0.1,0.2,1.1,0.99,0.5605,0.6124,0.5447,0.6679,0.4169
0.1,0.8,1.5,0.82,0.5603,0.6319,0.5493,0.6162,0.4438
0.0,0.2,1.3,0.96,0.5602,0.6172,0.5332,0.6643,0.4261
0.3,1.0,1.3,0.87,0.56,0.6263,0.5766,0.614,0.4231
0.6,0.6,1.2,0.96,0.5599,0.6051,0.5998,0.6409,0.394
