feature,Mon_before,Tre_before,Q_before,Mon_after,Tre_after,Q_after,Mon_delta,Tre_delta,Q_delta,rank_after
ch3_impulse_f,0.0544,0.2231,0.1387,0.0542,0.3001,0.1771,-0.0002,0.077,0.0384,57
ch1_freq_std,0.1063,0.3044,0.2053,0.0975,0.2563,0.1769,-0.0088,-0.048,-0.0284,58
ch3_crest_f,0.0451,0.2053,0.1252,0.0578,0.2941,0.1759,0.0127,0.0888,0.0507,59
ch2_spectral_entropy,0.0746,0.2452,0.1599,0.1153,0.2291,0.1722,0.0407,-0.016,0.0123,60
ch4_low_band,0.057,0.1217,0.0893,0.047,0.2966,0.1718,-0.0099,0.1749,0.0825,61
ch2_shape_f,0.0958,0.2359,0.1659,0.0772,0.265,0.1711,-0.0187,0.0291,0.0052,62
ch2_kurt_rms,0.0257,0.4208,0.2232,0.035,0.2973,0.1662,0.0093,-0.1235,-0.0571,63
ch3_freq_std,0.1443,0.2284,0.1864,0.1238,0.2055,0.1647,-0.0204,-0.0229,-0.0217,64
ch4_shape_f,0.0982,0.2529,0.1756,0.0906,0.2322,0.1614,-0.0076,-0.0207,-0.0142,65
ch3_skewness,0.0383,0.1448,0.0915,0.0419,0.2718,0.1569,0.0037,0.127,0.0654,66
ch1_skewness,0.0558,0.249,0.1524,0.0731,0.2401,0.1566,0.0173,-0.0089,0.0042,67
ch1_bhigh_band,0.1068,0.1746,0.1407,0.1205,0.1892,0.1548,0.0136,0.0145,0.0141,68
ch1_impulse_f,0.0423,0.3054,0.1738,0.0577,0.2489,0.1533,0.0155,-0.0565,-0.0205,69
ch1_crest_f,0.065,0.3126,0.1888,0.043,0.2498,0.1464,-0.022,-0.0628,-0.0424,70
ch2_kurtosis,0.0673,0.2712,0.1692,0.0796,0.1721,0.1258,0.0122,-0.099,-0.0434,71
ch2_crest_f,0.059,0.2405,0.1498,0.0841,0.1386,0.1113,0.0251,-0.1019,-0.0384,72
ch4_skewness,0.0684,0.1635,0.1159,0.0698,0.1527,0.1113,0.0015,-0.0108,-0.0046,73
ch2_impulse_f,0.059,0.2419,0.1504,0.0821,0.1365,0.1093,0.0231,-0.1054,-0.0412,74
ch2_low_band,0.0391,0.1414,0.0902,0.0448,0.1376,0.0912,0.0057,-0.0038,0.001,75
ch2_skewness,0.0502,0.1994,0.1248,0.0347,0.0964,0.0655,-0.0155,-0.103,-0.0592,76
