bearing,n_total,n_low,n_high,hi_start,hi_end,mon,tred,q_score
1,126,65,61,0.0018,0.392,0.184,0.9609,0.5725
2,114,59,55,0.0,0.4279,0.3628,0.9153,0.6391
3,89,46,43,0.001,0.1393,0.6136,0.994,0.8038
4,137,70,67,0.5531,0.8389,0.0441,0.9592,0.5017
