model,mean,bias,elapsed_s,B1,B2,B3,B4
SVR,0.4977,1.0,0.3,0.5012,0.6282,0.4634,0.3981
KNN,0.4772,1.0,0.3,0.4421,0.6587,0.4798,0.3282
