bearing,fpt_idx,fpt_hr,threshold,rul_pred_hr,rul_std_hr,hi_mon,hi_tre
1,125,20.833,0.3,6.023,3.973,0.04,0.5445
2,112,18.667,0.3,0.0,0.0,0.0088,0.7092
3,88,14.667,0.3,3.168,1.788,0.0227,0.4013
4,80,13.333,0.3,16.309,13.04,0.0441,0.7019
