method,rmse,mae,bias,n
bpfo,132.10529502679307,117.75067204301074,33.34386200716846,48
shaft,127.89008953003353,109.95833333333333,56.08333333333331,48
bpfi,122.11864331720575,121.51339285714285,-5.444940476190482,48
