bearing,regime,mon,tred
1,레짐1,0.75,0.9607954545454546
1,레짐2,0.03333333333333333,0.9226335272342674
2,레짐1,0.5172413793103449,0.21168907071887788
2,레짐2,0.5925925925925926,0.6437950937950939
3,레짐1,0.7777777777777778,0.9612704286154795
3,레짐2,0.19047619047619047,0.8980670492298398
4,레짐1,0.2463768115942029,0.9091942962120549
4,레짐2,0.45454545454545453,0.9009897038869824
