================================================================================
HI (Health Index) 품질 평가 결과
================================================================================

평가 지표 설명:
  Monotonicity (Mon): 시간에 따른 단조 변화 정도 [0-1], 1이 최고
  Trendability (Tre): 시간과의 Spearman 상관 (절대값) [0-1], 1이 최고
  Prognosability (Pro): 초기/말기 분포 분리도 [0-1], 1이 최고
  Composite: 세 지표의 평균 [0-1]

--------------------------------------------------------------------------------
■ 전체 Run 평균 (Composite 내림차순)
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
BPFI_sb_p          0.0227   0.4928   0.5239   0.3465
BPFO_h3            0.0455   0.4741   0.4752   0.3316
FTF_h1             0.0227   0.4427   0.5290   0.3315
std                0.0000   0.4767   0.5152   0.3306
rms                0.0000   0.4767   0.5152   0.3306
E_low              0.1591   0.5399   0.2713   0.3234
BPFO_h1            0.0455   0.4485   0.4715   0.3218
peak               0.0227   0.4573   0.4442   0.3081
BPFI_h1            0.0000   0.4174   0.5060   0.3078
E_vhigh            0.0682   0.5421   0.3092   0.3065
BSF_sb_m           0.0909   0.4114   0.4160   0.3061
crest              0.1136   0.3596   0.4250   0.2994
impulse            0.0909   0.3772   0.4236   0.2973
margin             0.0909   0.3780   0.4175   0.2955
BPFO_h2            0.0227   0.4137   0.4383   0.2916
E_mid              0.1364   0.4645   0.2729   0.2913
E_high             0.0455   0.4543   0.2866   0.2621
BPFO_sb_p          0.0455   0.2862   0.3435   0.2250
kurt               0.0227   0.1576   0.3010   0.1604
skew               0.0455   0.1237   0.2541   0.1411
shape              0.0227   0.0177   0.2954   0.1120

--------------------------------------------------------------------------------
■ Train4
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
------------------------------------------------
FTF_h2             0.0882   0.5995   0.4156   0.3678
FTF_h1             0.0588   0.6017   0.4326   0.3644
BSF_sb_p           0.1324   0.4868   0.4374   0.3522
BPFI_h2            0.1029   0.5278   0.4221   0.3510
BSF_h1             0.0147   0.5935   0.4439   0.3507
BPFO_sb_p          0.1176   0.4387   0.4543   0.3369
rms                0.0441   0.5216   0.4198   0.3285
std                0.0441   0.5216   0.4198   0.3285
BPFO_h2            0.0441   0.4095   0.4875   0.3137
peak               0.0147   0.4014   0.5250   0.3137
BPFO_h3            0.0294   0.4751   0.4085   0.3043
BSF_h2             0.0000   0.4588   0.4149   0.2912
BSF_h3             0.0441   0.3923   0.4350   0.2905
E_low              0.1029   0.4855   0.2815   0.2900
BPFI_sb_p          0.0441   0.4008   0.4022   0.2824
BPFO_sb_m          0.0588   0.3620   0.3981   0.2730
BPFI_h3            0.0588   0.3373   0.4098   0.2686
E_high             0.0441   0.4107   0.3455   0.2668
E_vhigh            0.0441   0.3974   0.3494   0.2637
E_mid              0.0147   0.4239   0.3378   0.2588
BPFI_h1            0.0441   0.3226   0.3876   0.2515
FTF_h3             0.0588   0.3306   0.3258   0.2384
BPFI_sb_m          0.0441   0.2718   0.3859   0.2339
crest              0.0441   0.2236   0.3675   0.2117
impulse            0.0147   0.2025   0.4083   0.2085
margin             0.0000   0.1958   0.4114   0.2024
kurt               0.0147   0.0647   0.4103   0.1632
shape              0.0441   0.1770   0.2423   0.1545
BPFO_h1            0.0588   0.1029   0.2879   0.1499
skew               0.1029   0.1789   0.1510   0.1443
BSF_sb_m           0.0147   0.0937   0.3059   0.1381

================================================================================
★ 최고 HI 후보 Top 10 (전체 Run 평균 Composite 기준)
================================================================================
   1. FTF_h2            Composite=0.4274  (Mon=0.100, Tre=0.643, Pro=0.539)
   2. BSF_h1            Composite=0.4102  (Mon=0.054, Tre=0.640, Pro=0.537)
   3. BPFI_h2           Composite=0.4077  (Mon=0.054, Tre=0.614, Pro=0.555)
   4. BSF_sb_p          Composite=0.4058  (Mon=0.097, Tre=0.601, Pro=0.520)
   5. BPFO_h3           Composite=0.3915  (Mon=0.068, Tre=0.583, Pro=0.523)
   6. FTF_h3            Composite=0.3915  (Mon=0.071, Tre=0.603, Pro=0.501)
   7. FTF_h1            Composite=0.3844  (Mon=0.057, Tre=0.574, Pro=0.523)
   8. rms               Composite=0.3801  (Mon=0.024, Tre=0.580, Pro=0.536)
   9. std               Composite=0.3801  (Mon=0.024, Tre=0.580, Pro=0.536)
  10. BSF_h2            Composite=0.3712  (Mon=0.036, Tre=0.558, Pro=0.519)
