alpha_th,cap_th,alpha_lgbm,cap_lgbm,cf,overall,B1,B2,B3,B4
1.0,1.1,0.4,2.0,0.85,0.5657,0.6218,0.5435,0.6593,0.4382
1.0,2.0,1.0,1.5,0.71,0.5657,0.5903,0.5892,0.6428,0.4407
0.0,1.2,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
0.0,1.5,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
0.0,1.3,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
0.0,1.1,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
0.0,2.0,0.4,2.0,0.91,0.5656,0.6368,0.5474,0.6247,0.4533
1.0,1.3,0.4,2.0,0.84,0.5654,0.6213,0.5694,0.6332,0.4376
0.8,1.5,0.4,2.0,0.85,0.5654,0.6247,0.5788,0.6174,0.4408
0.8,1.5,0.8,1.5,0.77,0.5653,0.6116,0.5711,0.6377,0.4406
1.0,1.2,0.4,2.0,0.85,0.5653,0.6232,0.5593,0.6394,0.4392
0.4,1.2,0.4,1.1,0.97,0.5652,0.6108,0.5465,0.6782,0.4252
0.6,1.5,0.0,1.5,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.6,1.5,0.0,3.0,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.6,1.5,0.0,2.0,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.8,1.2,0.0,3.0,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
0.6,1.5,0.0,1.3,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.8,1.2,0.0,1.2,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
0.8,1.2,0.0,2.0,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
0.8,1.2,0.0,1.5,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
0.8,1.2,0.0,1.3,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
0.6,1.5,0.0,1.2,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.6,1.5,0.0,1.1,0.99,0.5651,0.5923,0.5769,0.6678,0.4237
0.8,1.2,0.0,1.1,0.99,0.5651,0.5912,0.5599,0.6866,0.4224
1.0,1.5,0.8,1.5,0.75,0.565,0.6014,0.5743,0.6489,0.4354
0.0,2.0,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.0,1.1,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.0,1.2,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.0,1.5,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.0,1.3,1.0,1.1,0.95,0.5649,0.63,0.5382,0.6599,0.4316
0.8,2.0,1.0,1.5,0.73,0.5648,0.6004,0.5841,0.6286,0.4461
1.0,2.0,0.4,2.0,0.83,0.5645,0.6226,0.6182,0.5775,0.4396
0.6,1.5,0.8,1.5,0.79,0.5645,0.6212,0.5677,0.6232,0.4461
0.6,1.1,0.4,1.1,0.97,0.5644,0.6105,0.5436,0.6786,0.4249
0.6,1.3,0.0,3.0,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
0.6,1.3,0.0,1.2,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
0.6,1.3,0.0,1.3,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
0.6,1.3,0.0,1.1,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
0.6,1.3,0.0,1.5,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
0.6,1.3,0.0,2.0,0.99,0.5641,0.5913,0.5624,0.6801,0.4226
1.0,1.3,0.8,1.5,0.76,0.5639,0.6058,0.5616,0.6511,0.437
0.6,2.0,1.0,1.5,0.74,0.5636,0.6049,0.5724,0.6288,0.4482
0.8,1.3,0.8,1.5,0.77,0.5636,0.6106,0.5566,0.6478,0.4396
1.0,1.5,0.4,2.0,0.84,0.5635,0.6227,0.589,0.6029,0.4391
0.4,1.5,0.8,1.5,0.8,0.5635,0.6246,0.5585,0.6223,0.4485
0.6,1.3,0.8,1.5,0.78,0.5631,0.6154,0.5515,0.6435,0.4421
0.0,1.3,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.0,1.2,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.0,1.1,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.4,1.3,0.8,1.5,0.8,0.563,0.6241,0.5506,0.6292,0.448
0.0,2.0,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.0,1.5,0.8,1.1,0.95,0.563,0.6258,0.5344,0.6639,0.4278
0.0,1.3,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.0,2.0,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.0,1.2,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.0,1.1,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.0,1.5,0.4,1.2,0.95,0.5628,0.6253,0.5343,0.664,0.4278
0.8,1.2,0.8,1.5,0.77,0.5627,0.6097,0.5454,0.6566,0.4389
0.6,1.2,0.8,1.5,0.78,0.5625,0.6147,0.5432,0.6504,0.4416
0.4,1.2,0.8,1.5,0.8,0.5625,0.6237,0.545,0.6337,0.4476
1.0,1.2,0.8,1.5,0.76,0.5624,0.6047,0.5475,0.6611,0.4362
0.4,1.5,0.0,1.1,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.5,0.0,1.2,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.5,0.0,1.5,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.5,0.0,2.0,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.5,0.0,3.0,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.5,0.0,1.3,0.99,0.5622,0.5909,0.5602,0.6749,0.4227
0.4,1.1,0.4,1.1,0.97,0.5622,0.6101,0.54,0.6739,0.4247
1.0,1.1,0.0,3.0,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
1.0,1.1,0.0,1.2,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
1.0,1.1,0.0,1.1,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
1.0,1.1,0.0,1.5,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
1.0,1.1,0.0,2.0,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
1.0,1.1,0.0,1.3,0.99,0.5621,0.5903,0.5497,0.6866,0.4218
0.6,1.2,0.0,1.2,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.2,0.0,3.0,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.2,0.0,2.0,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.2,0.0,1.5,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.2,0.0,1.3,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.2,0.0,1.1,0.99,0.5616,0.5905,0.5523,0.6814,0.422
0.6,1.1,0.8,1.5,0.8,0.5615,0.6235,0.5423,0.6328,0.4474
0.4,2.0,1.0,1.5,0.75,0.5614,0.6093,0.5613,0.6247,0.4502
0.8,1.1,0.8,1.5,0.79,0.5614,0.6192,0.5417,0.6403,0.4444
0.4,1.1,0.8,1.5,0.81,0.5614,0.6273,0.5425,0.6257,0.45
0.0,1.2,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
0.0,1.5,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
1.0,1.1,0.8,1.5,0.78,0.5613,0.6146,0.541,0.6481,0.4415
0.0,1.3,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
0.0,2.0,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
0.0,1.1,0.8,1.5,0.83,0.5613,0.6347,0.5427,0.6125,0.4554
0.4,1.3,0.0,1.5,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.4,1.3,0.0,1.2,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.4,1.3,0.0,1.1,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.4,1.3,0.0,3.0,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.4,1.3,0.0,2.0,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.4,1.3,0.0,1.3,0.99,0.5599,0.5903,0.5514,0.676,0.422
0.8,1.1,0.0,1.5,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.8,1.1,0.0,1.3,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.8,1.1,0.0,1.1,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.8,1.1,0.0,3.0,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.8,1.1,0.0,1.2,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.8,1.1,0.0,2.0,0.99,0.5597,0.5899,0.5459,0.6813,0.4215
0.6,1.5,1.0,1.5,0.74,0.5582,0.6032,0.5602,0.6227,0.4467
1.0,1.5,1.0,1.5,0.71,0.5581,0.5876,0.5646,0.6421,0.4381
0.4,1.2,0.0,2.0,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.4,1.2,0.0,1.5,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.4,1.2,0.0,3.0,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.4,1.2,0.0,1.3,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.4,1.2,0.0,1.2,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.4,1.2,0.0,1.1,1.0,0.558,0.5823,0.5483,0.6777,0.4235
0.8,1.5,1.0,1.5,0.72,0.558,0.5923,0.5596,0.6395,0.4407
0.0,1.5,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.4,1.5,1.0,1.5,0.75,0.5576,0.6082,0.5527,0.6203,0.4492
0.0,1.2,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.0,2.0,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.0,1.1,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.0,1.3,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.6,1.1,0.0,2.0,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.6,1.1,0.0,1.5,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.6,1.1,0.0,3.0,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.6,1.1,0.0,1.1,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.6,1.1,0.0,1.2,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.6,1.1,0.0,1.3,0.99,0.5573,0.5895,0.5421,0.6761,0.4213
0.4,1.3,1.0,1.5,0.75,0.5572,0.6077,0.5453,0.6269,0.4487
0.0,2.0,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.0,1.5,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.0,1.3,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.0,1.1,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.0,1.2,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.6,1.3,1.0,1.5,0.74,0.5568,0.6025,0.5489,0.6301,0.4459
0.4,1.2,1.0,1.5,0.75,0.5567,0.6073,0.5401,0.6311,0.4483
0.8,1.3,1.0,1.5,0.73,0.5564,0.5972,0.5518,0.6336,0.443
1.0,1.3,1.0,1.5,0.71,0.5564,0.5865,0.5482,0.654,0.4369
0.6,1.2,1.0,1.5,0.74,0.5562,0.6018,0.541,0.6367,0.4454
0.4,1.1,1.0,1.5,0.76,0.5561,0.6127,0.5386,0.6221,0.451
0.6,1.1,1.0,1.5,0.75,0.5558,0.6071,0.5376,0.6301,0.4482
0.8,1.2,1.0,1.5,0.72,0.5555,0.5905,0.5354,0.6572,0.439
0.6,1.1,0.4,3.0,0.87,0.5554,0.6298,0.5419,0.6034,0.4464
1.0,1.2,1.0,1.5,0.71,0.5552,0.5854,0.5353,0.6638,0.4361
0.4,1.1,0.4,3.0,0.88,0.5552,0.6323,0.542,0.5974,0.449
0.8,1.1,1.0,1.5,0.74,0.5552,0.6014,0.5358,0.6387,0.4451
0.8,1.1,0.4,3.0,0.86,0.5552,0.6271,0.5418,0.6081,0.4439
0.4,1.1,0.0,3.0,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
0.4,1.1,0.0,2.0,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
0.4,1.1,0.0,1.5,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
0.4,1.1,0.0,1.3,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
0.4,1.1,0.0,1.2,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
0.4,1.1,0.0,1.1,0.99,0.5549,0.5891,0.5385,0.6711,0.4211
1.0,1.1,0.4,3.0,0.85,0.5548,0.6243,0.5417,0.6116,0.4414
1.0,1.1,1.0,1.5,0.73,0.5546,0.5957,0.5333,0.6477,0.4419
0.0,1.2,0.4,3.0,0.89,0.5545,0.6344,0.5386,0.5935,0.4514
0.0,1.3,0.4,3.0,0.89,0.5545,0.6344,0.5386,0.5935,0.4514
0.4,1.2,0.4,3.0,0.86,0.5545,0.6269,0.5411,0.606,0.4439
0.0,1.5,0.4,3.0,0.89,0.5545,0.6344,0.5386,0.5935,0.4514
0.0,1.1,0.4,3.0,0.89,0.5545,0.6344,0.5386,0.5935,0.4514
0.0,2.0,0.4,3.0,0.89,0.5545,0.6344,0.5386,0.5935,0.4514
0.6,1.2,0.4,3.0,0.85,0.5538,0.6245,0.544,0.605,0.4416
0.4,1.3,0.4,3.0,0.86,0.5534,0.6275,0.5468,0.5951,0.4443
0.0,2.0,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
0.0,1.1,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
0.0,1.2,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
0.0,1.5,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
0.0,1.3,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
0.4,2.0,0.8,2.0,0.74,0.553,0.5967,0.5548,0.6097,0.4507
0.8,1.2,0.4,3.0,0.84,0.5523,0.6219,0.547,0.6009,0.4394
0.6,1.3,0.4,3.0,0.85,0.5522,0.6253,0.5527,0.5887,0.4422
0.4,1.1,0.8,2.0,0.74,0.5518,0.5941,0.5308,0.6337,0.4484
0.6,1.1,0.8,2.0,0.74,0.551,0.5945,0.5335,0.6274,0.4486
0.4,1.2,0.8,2.0,0.74,0.551,0.5946,0.5356,0.625,0.4488
0.4,1.3,0.8,2.0,0.74,0.5509,0.5951,0.5401,0.6194,0.4491
0.6,2.0,0.8,2.0,0.73,0.5508,0.5924,0.5663,0.5956,0.4489
0.4,1.5,0.4,3.0,0.86,0.5507,0.6281,0.5545,0.5751,0.445
1.0,1.2,0.4,3.0,0.82,0.5506,0.6156,0.5463,0.6057,0.4347
0.8,1.3,0.4,3.0,0.84,0.5504,0.623,0.5586,0.5798,0.4402
0.4,1.5,0.8,2.0,0.74,0.55,0.5956,0.546,0.6086,0.4496
0.0,1.1,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.5,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,3.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.3,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.1,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.8,1.1,0.8,2.0,0.74,0.5499,0.5948,0.5361,0.6201,0.4488
0.0,1.3,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.5,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.2,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.3,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.3,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.3,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.3,0.0,3.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.1,0.0,3.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.5,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.1,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.4,2.0,0.4,3.0,0.86,0.5499,0.6294,0.5663,0.5576,0.4462
0.0,1.5,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.1,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.1,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,3.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,2.0,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.5,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,1.5,0.0,3.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.6,1.2,0.8,2.0,0.74,0.5496,0.5952,0.5408,0.6134,0.4491
0.6,1.3,0.8,2.0,0.74,0.5492,0.5959,0.5478,0.6035,0.4496
1.0,2.0,0.4,3.0,0.86,0.549,0.6357,0.6401,0.4692,0.4512
1.0,1.1,0.8,2.0,0.73,0.5489,0.5893,0.5337,0.6267,0.4459
0.6,1.5,0.8,2.0,0.74,0.5485,0.5966,0.5575,0.5895,0.4504
1.0,1.3,0.4,3.0,0.82,0.5483,0.6169,0.5607,0.5799,0.4357
0.6,1.5,0.4,3.0,0.85,0.5482,0.6261,0.5647,0.5588,0.4432
0.6,2.0,0.4,3.0,0.85,0.5482,0.6282,0.584,0.5354,0.4451
0.8,1.3,0.8,2.0,0.74,0.5479,0.5967,0.5559,0.5888,0.4501
0.8,1.2,0.8,2.0,0.73,0.5479,0.5899,0.5408,0.6145,0.4464
0.8,2.0,0.4,3.0,0.85,0.5477,0.6303,0.608,0.5059,0.4467
1.0,1.3,0.8,2.0,0.73,0.5466,0.5916,0.5585,0.5887,0.4476
0.8,2.0,0.8,2.0,0.73,0.5465,0.5941,0.5856,0.556,0.4503
1.0,1.2,0.8,2.0,0.73,0.5464,0.5905,0.5461,0.6022,0.4467
0.8,1.5,0.8,2.0,0.73,0.5461,0.5918,0.5636,0.5809,0.4481
0.8,1.5,0.4,3.0,0.84,0.5456,0.6242,0.5752,0.5415,0.4415
1.0,1.5,0.4,3.0,0.84,0.5436,0.6254,0.5906,0.516,0.4424
1.0,2.0,0.8,2.0,0.73,0.5434,0.5958,0.6067,0.5195,0.4516
1.0,1.5,0.8,2.0,0.73,0.5432,0.5928,0.5762,0.5549,0.4489
0.0,1.2,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.0,1.1,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.0,2.0,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.0,1.3,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.0,1.5,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.4,2.0,1.0,2.0,0.69,0.5418,0.5779,0.5424,0.5938,0.4533
0.4,1.1,1.0,2.0,0.69,0.5413,0.5756,0.5195,0.6189,0.4512
0.6,1.1,1.0,2.0,0.69,0.5403,0.5758,0.522,0.612,0.4514
0.4,1.2,1.0,2.0,0.69,0.5402,0.576,0.524,0.6093,0.4515
0.4,1.3,1.0,2.0,0.69,0.5399,0.5764,0.5283,0.6032,0.4518
0.4,1.5,1.0,2.0,0.69,0.5395,0.5769,0.534,0.5949,0.4523
0.8,1.1,1.0,2.0,0.68,0.5392,0.5704,0.5192,0.6193,0.4481
0.6,2.0,1.0,2.0,0.68,0.5392,0.5737,0.5525,0.5797,0.4511
0.6,1.2,1.0,2.0,0.69,0.5387,0.5765,0.5289,0.5976,0.4518
0.6,1.3,1.0,2.0,0.69,0.5387,0.5771,0.5356,0.5898,0.4523
1.0,1.1,1.0,2.0,0.68,0.5382,0.5707,0.5217,0.6123,0.4482
0.6,1.5,1.0,2.0,0.69,0.5376,0.5778,0.5448,0.5749,0.4531
0.8,1.3,1.0,2.0,0.69,0.5375,0.5779,0.5432,0.5759,0.4528
0.8,1.2,1.0,2.0,0.69,0.5373,0.5771,0.534,0.5858,0.4522
1.0,1.2,1.0,2.0,0.68,0.5361,0.5719,0.5334,0.59,0.449
1.0,1.3,1.0,2.0,0.68,0.5361,0.5729,0.545,0.5768,0.4498
0.8,1.5,1.0,2.0,0.68,0.5353,0.5731,0.5498,0.5681,0.4503
0.8,2.0,1.0,2.0,0.68,0.5352,0.5752,0.5703,0.543,0.4523
1.0,2.0,1.0,2.0,0.68,0.5325,0.5768,0.5897,0.5101,0.4536
1.0,1.5,1.0,2.0,0.68,0.5324,0.5741,0.5615,0.5431,0.451
1.0,2.0,0.8,3.0,0.74,0.5276,0.6071,0.6241,0.4176,0.4616
0.8,2.0,0.8,3.0,0.74,0.5249,0.6052,0.6011,0.433,0.4601
1.0,1.5,1.0,3.0,0.91,0.523,0.6835,0.7274,0.1273,0.5537
0.0,1.2,0.8,3.0,0.75,0.5229,0.604,0.5293,0.5006,0.4576
0.0,2.0,0.8,3.0,0.75,0.5229,0.604,0.5293,0.5006,0.4576
0.0,1.1,0.8,3.0,0.75,0.5229,0.604,0.5293,0.5006,0.4576
0.0,1.5,0.8,3.0,0.75,0.5229,0.604,0.5293,0.5006,0.4576
0.0,1.3,0.8,3.0,0.75,0.5229,0.604,0.5293,0.5006,0.4576
0.6,2.0,0.8,3.0,0.74,0.5228,0.6034,0.5797,0.4497,0.4586
1.0,1.5,0.8,3.0,0.94,0.5223,0.6821,0.7168,0.1582,0.5322
0.4,2.0,0.8,3.0,0.74,0.5217,0.6016,0.5598,0.4684,0.4572
0.4,1.1,0.8,3.0,0.74,0.5215,0.5988,0.5305,0.5021,0.4547
0.8,2.0,1.0,3.0,0.89,0.5214,0.6902,0.7039,0.1453,0.5463
0.4,1.3,0.8,3.0,0.74,0.5206,0.5998,0.5412,0.4859,0.4554
0.6,1.1,0.8,3.0,0.73,0.5206,0.5932,0.528,0.5093,0.4517
0.4,1.2,0.8,3.0,0.74,0.5205,0.5993,0.536,0.4918,0.4551
0.4,1.5,0.8,3.0,0.74,0.5202,0.6003,0.5485,0.4761,0.456
0.6,2.0,1.0,3.0,0.89,0.5198,0.6875,0.6957,0.1516,0.5442
0.6,1.5,0.8,3.0,0.74,0.5197,0.6014,0.5614,0.4591,0.4569
0.8,1.1,0.8,3.0,0.73,0.5197,0.5935,0.531,0.5022,0.4519
0.6,1.3,0.8,3.0,0.74,0.5196,0.6006,0.55,0.4719,0.456
0.8,1.5,0.8,3.0,0.74,0.5196,0.6026,0.5749,0.4433,0.4578
1.0,2.0,1.0,3.0,0.88,0.5196,0.6916,0.6957,0.1474,0.5438
0.6,1.2,0.8,3.0,0.74,0.5193,0.5999,0.5419,0.4799,0.4555
0.8,1.5,1.0,3.0,0.92,0.5191,0.6773,0.7163,0.1256,0.5572
0.8,1.3,0.8,3.0,0.74,0.5188,0.6014,0.559,0.4583,0.4566
1.0,1.1,0.8,3.0,0.73,0.5187,0.5939,0.534,0.495,0.4521
1.0,1.3,0.8,3.0,0.74,0.5181,0.6023,0.5683,0.4444,0.4571
0.8,1.2,0.8,3.0,0.74,0.5181,0.6005,0.548,0.468,0.4558
1.0,1.2,0.8,3.0,0.73,0.517,0.5952,0.5481,0.4718,0.453
1.0,1.3,1.0,3.0,0.92,0.5161,0.6769,0.7078,0.1233,0.5563
0.4,2.0,1.0,3.0,0.91,0.5152,0.6802,0.6863,0.1429,0.5515
0.6,1.5,1.0,3.0,0.91,0.5148,0.68,0.6897,0.1381,0.5512
0.8,1.3,1.0,3.0,0.92,0.5129,0.6756,0.6926,0.1281,0.5555
0.4,1.5,1.0,3.0,0.91,0.5103,0.6784,0.6686,0.1444,0.5499
0.6,1.3,1.0,3.0,0.91,0.51,0.6788,0.6708,0.1405,0.5499
1.0,1.2,1.0,3.0,0.92,0.5099,0.6751,0.6844,0.1252,0.5549
0.0,1.3,1.0,3.0,0.7,0.5091,0.5864,0.5215,0.4664,0.4622
0.0,2.0,1.0,3.0,0.7,0.5091,0.5864,0.5215,0.4664,0.4622
0.0,1.1,1.0,3.0,0.7,0.5091,0.5864,0.5215,0.4664,0.4622
0.0,1.5,1.0,3.0,0.7,0.5091,0.5864,0.5215,0.4664,0.4622
0.0,1.2,1.0,3.0,0.7,0.5091,0.5864,0.5215,0.4664,0.4622
0.8,1.2,1.0,3.0,0.91,0.5082,0.6786,0.6674,0.1369,0.5497
0.4,1.3,1.0,3.0,0.69,0.5077,0.582,0.5316,0.4577,0.4595
0.4,1.1,1.0,3.0,0.69,0.5077,0.5811,0.5214,0.4695,0.4588
0.4,1.2,1.0,3.0,0.69,0.5073,0.5816,0.5267,0.4617,0.4591
0.6,1.1,1.0,3.0,0.69,0.507,0.5814,0.5243,0.4632,0.459
0.6,1.2,1.0,3.0,0.9,0.5066,0.681,0.6513,0.1498,0.5445
0.8,1.1,1.0,3.0,0.69,0.5061,0.5817,0.5272,0.4564,0.4591
1.0,1.1,1.0,3.0,0.68,0.5054,0.5762,0.5241,0.4656,0.4556
