model,mean,bias,elapsed_s,B1,B2,B3,B4
SVR,0.4977,0.9000000000000004,0.3,0.5012,0.6282,0.4634,0.3981
LSTM,0.4773,1.2000000000000006,31.3,0.4517,0.5869,0.4764,0.3943
KNN,0.4772,0.9500000000000004,0.3,0.4421,0.6587,0.4798,0.3282
RF,0.4309,0.8750000000000003,32.2,0.3641,0.5214,0.4818,0.3564
LGBM,0.403,0.8500000000000003,0.9,0.3503,0.4361,0.4788,0.3468
